K,m,v,q
10011296,151210-45,567,1
10011296,151210-51,568,1
10011296,151210-53,569,1
10011296,151210-53,570,1
10011329,123510-02,571,1
10011338,135100-21,572,1
10011467,123500-01,573,1
10011514,123570-05,574,1
10011566,151450-01,575,1
10011664,111350-14,576,1
10011664,111350-17,577,1
10011844,110980-01,578,1
10011844,110980-01,579,1
10011844,110980-01,580,1
10011844,111190-01,581,1
10011844,111190-01,582,1
10011844,111190-01,583,1
10011884,111860-40,584,1
10011884,111860-40,585,1
10011884,111860-40,586,1
10011884,111860-40,587,1
10011930,111190-03,588,1
10011993,123550-11,589,1
10012005,124600-12,590,1
10012063,135100-03,591,1
10012221,111150-01,592,1
10012221,111150-02,593,1
10012233,135130-02,594,1
10012263,135100-21,595,1
10012293,124930-05,596,1
10012293,124930-05,597,1
10012293,124930-05,598,1
10012336,123470-20,599,1
10012384,123530-05,600,1
10012385,123520-07,601,1
10012385,123520-07,602,1
10012422,123550-03,603,1
10012422,123550-03,604,1
10012569,123680-16,605,1
10012569,123680-16,606,1
10012587,123590-02,607,1
10012587,123590-02,608,1
10012587,123590-06,609,1
10012630,135100-08,610,1
10012680,110980-01,611,1
10012680,111190-01,612,1
10012680,111190-01,613,1
10012699,110980-01,614,1
10012699,110980-01,615,1
10012746,111180-08,616,1
10012746,111180-08,617,1
10012766,123520-17,618,1
10012792,111130-11,619,1
10012870,123410-25,620,1
10012918,151210-95,621,1
10012983,111230-06,622,1
10012983,111230-06,623,1
10013116,123530-05,624,1
10013116,123530-05,625,1
10013130,124930-17,626,1
10013130,124930-17,627,1
10013130,124930-17,628,1
10013228,123590-06,629,1
10013242,100470-08,630,1
10013354,123540-05,631,1
10013360,124870-04,632,1
10013481,111190-01,633,1
10013481,111190-01,634,1
10013481,111190-01,635,1
10013610,111700-03,636,1
10013726,123680-09,637,1
10013791,100600-01,638,1
10013791,100630-10,639,1
10013914,123410-15,640,1
10013987,124870-03,641,1
10013990,135130-33,642,1
10014326,135120-14,643,1
10014333,123410-25,644,1
10014357,124500-02,645,1
10014361,111680-01,646,1
10014361,111680-01,647,1
10014374,111140-01,648,1
10014496,136040-14,649,1
10014529,123530-01,650,1
10014597,123410-15,651,1
10014688,110980-01,652,1
10014758,124930-30,653,1
10014806,123410-15,654,1
10014806,123410-15,655,1
10014827,111230-06,656,1
10014827,111230-06,657,1
10014969,111190-01,658,1
10014969,111190-01,659,1
10014969,111190-01,660,1
10014994,111680-01,661,1
10014994,111680-01,662,1
10015098,111140-01,663,1
10015136,151450-11,664,1
10015141,110980-01,665,1
10015141,110980-01,666,1
10015141,110980-01,667,1
10015141,110980-01,668,1
10015141,110980-02,669,1
10015241,124600-12,670,1
10015258,135120-10,671,1
10015264,100620-06,672,1
10015267,100620-06,673,1
10015287,123470-20,674,1
10015430,123530-05,675,1
10015436,124600-04,676,1
10015436,124600-04,677,1
10015455,111240-06,678,1
10015456,111240-06,679,1
10015469,110980-01,680,1
10015469,110980-01,681,1
10015469,110980-01,682,1
10015469,110980-01,683,1
10015469,110980-01,684,1
10015469,110980-01,685,1
10015469,110980-03,686,1
10015469,111190-01,687,1
10015469,111190-01,688,1
10015469,111190-01,689,1
10015469,111190-03,690,1
10015508,151310-01,691,1
10015544,124930-05,692,1
10015581,100650-02,693,1
10015690,123080-13,694,1
10015690,123540-12,695,1
10015691,123080-07,696,1
10015696,100600-01,697,1
10015715,110980-01,698,1
10015715,110980-01,699,1
10015715,110980-01,700,1
10015715,110980-01,701,1
10015715,110980-01,702,1
10015750,111220-03,703,1
10015781,123540-12,704,1
10015911,123410-25,705,1
10015928,123530-04,706,1
10016000,135120-19,707,1
10016035,110980-01,708,1
10016035,110980-01,709,1
10016035,111190-01,710,1
10016035,111190-01,711,1
10016035,111190-01,712,1
10016035,111190-03,713,1
10016056,135150-03,714,1
10016056,135150-12,715,1
10016056,135150-15,716,1
10016057,124930-13,717,1
10016057,124930-13,718,1
10016057,124930-17,719,1
10016057,124930-17,720,1
10016057,124930-17,721,1
10016057,124930-17,722,1
10016057,124930-50,723,1
10016057,124930-50,724,1
10016154,123510-05,725,1
10016267,124970-10,726,1
10016333,123680-23,727,1
10016346,123080-15,728,1
10016346,124870-09,729,1
10016407,123080-12,730,1
10016528,111260-11,731,1
10016528,111260-11,732,1
10016598,124980-01,733,1
10016618,123020-03,734,1
10016630,110980-01,735,1
10016630,110980-01,736,1
10016630,110980-01,737,1
10016630,110980-01,738,1
10016630,111190-01,739,1
10016630,111190-01,740,1
10016630,111190-01,741,1
10016636,100680-10,742,1
10016649,110980-01,743,1
10016649,110980-01,744,1
10016649,110980-01,745,1
10016649,110980-01,746,1
10016649,110980-01,747,1
10016649,110980-02,748,1
