K,P,e
10072807,162430-02_10072807_0200,1
10072809,111640-03_10072809_0300,1
10072844,110980-01_10072844_0100,1
10072844,110980-02_10072844_0200,1
10072846,123540-05_10072846_0200,1
10072851,123080-12_10072851_0500,1
10072851,123080-15_10072851_0600,1
10072866,111640-03_10072866_0300,1
10072875,140040-12_10072875_0200,1
10073010,111190-01_10073010_0104,1
10073038,124930-17_10073038_1700,1
10073038,124930-17_10073038_1710,1
10073129,124930-05_10073129_0500,1
10073208,123590-01_10073208_0204,1
10073208,123590-01_10073208_0205,1
10073224,124600-04_10073224_0400,1
10073224,124600-06_10073224_0600,1
10073276,135150-16_10073276_0800,1
10073298,123510-02_10073298_1000,1
10073316,123590-01_10073316_0302,1
10073316,123590-01_10073316_0303,1
10073387,123590-01_10073387_0203,1
10073572,123080-12_10073572_0600,1
10073572,123080-15_10073572_0400,1
10073573,123080-02_10073573_0100,1
10073594,123590-01_10073594_0202,1
10073594,123590-01_10073594_0204,1
10073662,124930-05_10073662_0500,1
10073709,111260-02_10073709_0510,1
10073709,111260-03_10073709_0500,1
10073852,123380-03_10073852_0350,1
10073852,123380-03_58872744_0350,1
10073883,135130-02_10073883_0100,1
10073920,123500-11_10073920_0200,1
10073996,124240-01_10000474_1000,1
10073996,124240-01_10000476_1000,1
10074093,123410-12_10074093_0200,1
10074093,123410-12_10074093_0210,1
10074093,123410-12_10074093_0220,1
10074093,123410-12_10074093_0230,1
10074093,123410-12_10074093_0240,1
10074093,123410-12_10074093_0250,1
10074093,123410-12_10074093_0260,1
10074093,123410-12_10074093_0270,1
10074143,111220-05_10074143_0500,1
10074217,151550-06_10003331_0600,1
10074217,151550-05_10000902_0300,1
10074217,151550-03_10002160_0200,1
10074217,151550-02_10002117_0200,1
10074217,151550-04_10003331_0300,1
10074287,100610-50_10074287_0210,1
10074287,100610-50_10074287_0220,1
10074287,100610-50_10074287_0230,1
10074287,100610-50_10074287_0240,1
10074299,151330-06_10074299_0200,1
10074299,151330-08_10074299_0800,1
10074444,124500-06_10074444_0800,1
10074454,151330-06_10074454_0600,1
10074454,151330-08_10074454_0700,1
10074572,110980-01_10074572_0703,1
10074572,110980-01_10074572_0705,1
10074572,110980-01_10074572_0701,1
10074572,110980-01_10074572_0700,1
10074716,112020-02_10074716_0200,1
10074826,135100-03_10074826_0200,1
10074884,123550-07_10074884_1000,1
10074927,135150-10_10074927_0200,1
10074927,135150-12_10074927_0300,1
10075141,111580-01_10075141_0100,1
10075141,111580-04_10075141_0400,1
10075303,151330-08_10075303_0400,1
10075331,111220-03_10075331_0300,1
10075331,111220-07_10075331_0700,1
10075343,123290-02_10075343_0200,1
10075402,123420-17_10075402_0200,1
10075511,110980-02_10075511_0700,1
10075658,111260-01_10075658_0600,1
10075798,135120-07_10075798_0100,1
10075809,135120-07_10075809_0100,1
10075810,135120-01_10075810_0100,1
10075817,135120-10_10075817_0100,1
10075869,124260-01_10075869_0100,1
10075916,123590-05_10075916_0300,1
10075916,123590-06_10075916_0200,1
10076068,111190-01_10076068_0106,1
10076068,111190-01_10076068_0104,1
10076068,111190-01_10076068_0102,1
10076068,111190-01_10076068_0101,1
10076068,111190-01_10076068_0103,1
10076069,110980-02_10076069_0200,1
10076069,111190-01_10076069_0100,1
10076069,111190-01_10076069_0101,1
10076070,110980-02_10076070_0200,1
10076070,110980-01_10076070_0703,1
10076070,110980-01_10076070_0700,1
10076070,110980-01_10076070_0701,1
10076070,110980-01_10076070_0702,1
10076071,110980-01_10076071_0700,1
10076071,110980-01_10076071_0701,1
10076071,110980-01_10076071_0702,1
10076071,110980-01_10076071_0703,1
10076071,111190-01_10076071_0100,1
10076071,111190-01_10076071_0101,1
10076071,111190-01_10076071_0102,1
10076071,111190-01_10076071_0103,1
10076072,111190-01_10076072_0101,1
10076072,111190-01_10076072_0102,1
10076072,111190-01_10076072_0100,1
10076072,110980-01_10076072_0702,1
10076072,110980-01_10076072_0706,1
10076072,110980-02_10076072_0200,1
10076072,110980-01_10076072_0700,1
10076073,111190-01_10076073_0100,1
10076073,111190-01_10076073_0101,1
10076073,111190-01_10076073_0102,1
10076074,111190-01_10076074_0101,1
10076074,111190-01_10076074_0102,1
10076074,111190-01_10076074_0103,1
10076074,111190-01_10076074_0104,1
10076074,111190-01_10076074_0105,1
10076125,123530-05_10076125_0800,1
10076126,123510-05_10076126_1000,1
10076196,110320-04_10076196_0300,1
10076235,123560-01_10076235_0100,1
10076235,123560-01_10076235_0300,1
10076275,123080-05_10076275_0100,1
10076417,110320-02_10076417_0200,1
10076425,111350-14_10076425_6411,1
10076425,111350-17_10076425_6711,1
10076484,111860-40_10076484_0071,1
10076780,123530-01_10076780_0500,1
10076850,123560-01_10076850_0100,1
10076922,123080-01_10001922_0400,1
10076964,124930-17_10076964_171C,1
10076964,124930-17_10076964_171B,1
10076964,124930-17_10076964_171A,1
10076964,124930-17_10076964_170A,1
10076964,124930-17_10076964_170B,1
10076964,124930-17_10076964_170C,1
10077024,123530-02_10077024_0800,1
10077071,100470-08_10077071_0210,1
10077072,100470-08_10077072_0210,1
10077072,100470-10_10077072_0110,1
10077073,100610-10_10077073_0110,1
10077093,111180-11_10077093_0300,1
10077093,111180-11_10077093_0301,1
10077149,135100-04_10077149_0200,1
10077202,123530-05_10077202_0800,1
10077205,123530-04_10077205_0800,1
10077239,111190-03_10077239_0302,1
10077239,111190-03_10077239_0301,1
10077239,111190-01_10077239_0105,1
10077239,111190-01_10077239_0104,1
10077239,110980-01_10077239_0701,1
10077239,110980-01_10077239_0704,1
10077239,110980-01_10077239_0703,1
10077239,110980-01_10077239_0700,1
10077239,111190-01_10077239_0101,1
10077278,111400-02_10077278_4230,1
10077278,111350-17_10077278_6711,1
10077278,111350-18_10077278_6817,1
10077278,111400-02_10077278_6230,1
10077348,123510-02_10077348_1000,1
10077426,123590-01_10077426_0204,1
10077426,123590-01_10077426_0202,1
10077451,124270-01_10077451_0500,1
10077490,111230-06_10077490_0100,1
10077490,111230-06_10077490_0200,1
10077514,151450-02_10077514_0100,1
10077606,135150-16_10077606_0800,1
10077723,151450-01_10077723_0100,1
10077801,124260-01_10077801_0100,1
10077801,124260-01_10077801_0200,1
10077801,124260-01_10077801_0300,1
10077955,111190-01_10077955_0105,1
10077955,111190-01_10077955_0104,1
10077955,111190-01_10077955_0101,1
10077955,110980-01_10077955_0701,1
10077955,110980-01_10077955_0700,1
10077955,110980-01_10077955_0702,1
10078236,136060-10_10078236_0500,1
10078279,123420-17_10078279_0100,1
10078308,123500-13_10078308_0200,1
10078334,123080-12_10078334_0400,1
10078334,123080-06_10078334_0600,1
10078423,111600-05_10078423_0500,1
10078596,110320-01_10078596_0102,1
10078614,110320-01_10078614_0102,1
10078623,110320-05_10078623_0200,1
10078634,123520-15_10078634_0600,1
10078682,111190-03_10078682_0302,1
10078682,111190-03_10078682_0301,1
10078682,111190-01_10078682_0208,1
10078682,111190-01_10078682_0200,1
10078682,111190-01_10078682_0201,1
10078988,110980-01_10078988_0701,1
10078988,110980-01_10078988_0702,1
10079216,111190-01_10079216_0107,1
10079216,111190-01_10079216_0108,1
10079231,123590-01_10079231_0106,1
10079231,123590-02_10079231_0201,1
10079313,124930-17_10079313_170A,1
10079313,124930-17_10079313_170B,1
10079411,123410-15_10079411_0200,1
10079429,100610-20_10079429_0300,1
10079726,111260-11_10079726_0500,1
10079792,123550-11_10079792_1000,1
10079828,111190-01_10079828_0103,1
10079828,111190-01_10079828_0106,1
10079859,123520-03_10079859_0300,1
10079859,123520-07_10079859_0100,1
10079931,123510-05_10079931_1000,1
10080123,110980-02_10080123_0801,1
10080123,110980-02_10080123_0800,1
10080123,110980-02_10080123_0202,1
10080123,110980-02_10080123_0201,1
10080123,110980-02_10080123_0802,1
10080123,110980-01_10080123_0903,1
10080123,110980-02_10080123_0200,1
10080123,110980-01_10080123_0901,1
10080123,110980-01_10080123_0900,1
10080123,110980-01_10080123_0707,1
10080123,110980-01_10080123_0705,1
10080123,110980-01_10080123_0701,1
10080123,110980-01_10080123_0700,1
10080123,110980-01_10080123_0902,1
10080149,140500-01_10001181_0500,1
10080289,135090-01_10080289_0200,1
10080336,110980-01_10080336_0700,1
10080448,123420-18_10060991_0500,1
10080448,123420-18_10060991_0600,1
10080496,111180-11_10080496_0300,1
10080496,111180-11_10080496_0301,1
10080496,111180-09_10080496_0400,1
10080646,135150-12_10080646_0300,1
10080654,135150-12_10080654_0300,1
10080689,135150-12_10080689_0300,1
10080690,135150-12_10080690_0300,1
10080691,135150-12_10080691_0300,1
10080692,135150-12_10080692_0300,1
10080694,135150-12_10080694_0300,1
10080696,135150-12_10080696_0300,1
10080697,135150-12_10080697_0300,1
10080698,135150-12_10080698_0300,1
10080702,123530-04_10080702_0800,1
10080775,123410-25_10080775_0500,1
10080779,123410-15_10080779_0210,1
10080779,123410-15_10080779_0200,1
10080798,123410-15_10080798_0210,1
10080798,123410-15_10080798_0300,1
10080798,123410-15_10080798_0200,1
10080901,135100-21_10080901_0200,1
10080901,135100-21_10080901_0300,1
10080978,111180-01_10016667_0100,1
10081053,100440-07_10081053_0100,1
10081062,124260-01_10081062_0200,1
10081266,110320-07_10081266_0100,1
10081315,111190-03_10081315_0300,1
10081315,111190-01_10081315_0102,1
10081315,111190-01_10081315_0101,1
10081315,111190-01_10081315_0100,1
10081315,110980-03_10081315_0800,1
10081315,110980-01_10081315_0703,1
10081315,110980-01_10081315_0704,1
10081315,110980-01_10081315_0702,1
10081315,110980-01_10081315_0701,1
10081315,110980-01_10081315_0700,1
10081315,110980-01_10081315_0705,1
10081316,111190-01_10081316_0101,1
10081316,111190-01_10081316_0104,1
10081316,111190-01_10081316_0103,1
10081316,110980-03_10081316_0800,1
10081316,111190-03_10081316_0300,1
10081316,110980-01_10081316_0703,1
10081316,110980-01_10081316_0702,1
10081316,110980-01_10081316_0701,1
10081316,110980-01_10081316_0700,1
10081316,110980-01_10081316_0800,1
10081352,124600-10_10081352_0300,1
10081373,124930-52_10081373_5200,1
10081385,124930-52_10081385_5200,1
10081481,123060-01_10084334_0100,1
10081481,123060-02_10084334_0200,1
10081481,123060-03_10084334_0300,1
10081481,123060-04_10084334_0400,1
10081492,135100-04_10081492_0100,1
10081541,110320-06_10081541_0100,1
10081542,110320-06_10081542_0100,1
10081624,134130-32_10081624_1600,1
10081624,134130-31_10081624_1500,1
10081708,123380-03_10081708_0350,1
10081708,123380-03_58560870_0350,1
10081708,123380-03_58560887_0350,1
10081708,123380-03_58560894_0350,1
10081708,123380-03_58689564_0350,1
10081708,123380-03_58839143_0350,1
10081708,123380-03_58873956_0350,1
10081708,123380-03_58877343_0350,1
10081833,124930-54_10081833_5400,1
10081833,124930-54_10081833_5410,1
10081835,151210-06_10081835_0700,1
10081917,124500-03_10002097_0200,1
10081917,124500-03_10049482_0100,1
10081917,124500-03_10916095_0100,1
10082136,151210-53_10082136_0100,1
10082187,111150-07_10082187_0400,1
10082187,111150-07_10082187_0300,1
10082235,111500-01_10082235_0200,1
10082342,135100-08_10082342_0100,1
10082342,135100-21_10082342_0300,1
10082355,135100-08_10082355_0100,1
10082355,135100-21_10082355_0300,1
10082360,111220-05_10082360_0500,1
10082372,123520-15_10082372_0500,1
10082411,123410-15_10082411_0200,1
10082444,110980-01_10082444_0700,1
10082467,100610-10_10082467_0110,1
10082468,100470-08_10082468_0110,1
10082469,100470-08_10082469_0110,1
10082486,111190-03_10082486_0300,1
10082532,112020-02_10082532_0200,1
10082536,100630-20_10082536_0210,1
10082541,100630-10_10082541_0210,1
10082569,124870-04_10082569_0500,1
10082596,123400-15_10082596_0600,1
10082858,151210-76_10082858_0300,1
10082858,151330-06_10082858_0200,1
10082913,111220-05_10082913_0500,1
10082944,111260-11_10082944_0500,1
10082944,111260-11_10082944_0510,1
10082972,111190-01_10082972_0104,1
10082972,111190-01_10082972_0103,1
10082972,111190-01_10082972_0101,1
10082972,110980-01_10082972_0703,1
10082972,110980-01_10082972_0702,1
10082972,110980-01_10082972_0700,1
10082972,110980-01_10082972_0705,1
10083117,100680-20_10083117_0200,1
10083122,151330-06_10083122_0500,1
10083190,123180-03_10083190_0300,1
10083427,123530-04_10083427_0800,1
10083708,123560-01_10083708_0100,1
10083708,123560-01_10083708_0300,1
10083708,123560-01_10083708_0400,1
10083799,111580-04_10083799_0400,1
10083829,111580-07_10083829_0200,1
10083872,111180-09_10083872_0200,1
10083872,110980-01_10083872_0704,1
10083872,110980-01_10083872_0703,1
10083872,110980-01_10083872_0700,1
10083872,110980-01_10083872_0701,1
10083872,110980-01_10083872_0702,1
10083932,151450-01_10083932_0100,1
10083935,110320-04_10083935_0100,1
10083935,110320-04_10083935_0101,1
10083973,123570-05_10083973_0300,1
10084106,100680-10_10084106_0110,1
10084121,111260-11_10084121_0800,1
10084121,111260-11_10084121_0700,1
10084321,123590-01_10084321_0300,1
10084321,123590-01_10084321_0301,1
10084321,123590-01_10084321_0103,1
10084321,123590-01_10084321_0200,1
10084334,123060-04_10084334_0400,1
10084334,123060-03_10084334_0300,1
10084334,123060-02_10084334_0200,1
10084334,123060-01_10084334_0100,1
10084364,124930-70_10084364_7000,1
10084364,124930-70_10084364_7010,1
10084393,123510-02_10084393_1000,1
10084555,123590-01_10084555_0200,1
10084593,123590-05_10084593_0100,1
10084596,123540-12_10084596_0200,1
10084624,111220-03_10084624_0300,1
10084756,100680-10_10084756_0110,1
10084841,135150-12_10084841_0300,1
10084925,136040-13_10084925_0300,1
10084926,151140-01_10004837_0100,1
10084926,151140-01_10002173_0300,1
10085070,134130-31_10085070_1500,1
10085089,110980-01_10085089_0700,1
10085107,135120-07_10085107_0100,1
10085108,135120-15_10085108_0200,1
10085388,151330-05_10085388_0200,1
10085415,112020-02_10085415_0200,1
10085539,110980-02_10085539_0700,1
10085539,110980-02_10085539_0701,1
10085548,123420-17_10085548_0100,1
10085653,151450-02_10085653_0100,1
10085701,111190-01_10085701_0112,1
10085701,111190-01_10085701_0101,1
10085701,111190-01_10085701_0106,1
10085701,111190-03_10085701_0300,1
10085708,123530-05_10085708_0800,1
10085796,111040-04_10085796_0800,1
10085796,111040-01_10085796_0900,1
10085842,111180-09_10085842_0100,1
10086057,123590-01_10086057_0103,1
10086120,111180-09_10086120_0500,1
10086120,111180-12_10086120_0401,1
10086120,111180-12_10086120_0402,1
10086130,111220-03_10086130_0300,1
10086130,111240-06_10086130_0200,1
10086190,124930-17_10086190_171B,1
10086190,124930-17_10086190_171A,1
10086190,124930-17_10086190_170B,1
10086190,124930-17_10086190_170A,1
10086190,124930-13_10086190_131B,1
10086190,124930-13_10086190_131A,1
10086190,124930-12_10086190_121B,1
10086190,124930-13_10086190_130A,1
10086190,124930-12_10086190_121A,1
10086190,124930-12_10086190_120B,1
10086190,124930-12_10086190_120A,1
10086190,124930-13_10086190_130B,1
10086324,111580-01_10086324_0600,1
10086660,111040-01_10086660_0800,1
10086660,111040-04_10086660_0300,1
10086660,111040-04_10086660_0600,1
10086722,151450-02_10086722_0100,1
10086775,111240-06_10086775_0700,1
10086821,123550-09_10086821_1000,1
10086876,100610-70_10086876_0210,1
10086877,100470-08_10086877_0110,1
10086915,111640-03_10086915_0330,1
10086915,111640-08_10086915_0800,1
10086950,124970-60_10086950_0200,1
10086960,123550-03_10086960_1000,1
10086960,123550-03_10086960_1100,1
10086961,123550-03_10086961_1000,1
10086961,123550-03_10086961_1100,1
10086963,135120-10_10086963_0100,1
10087059,151330-08_10087059_0100,1
10087071,111230-06_10087071_0100,1
10087071,111230-06_10087071_0200,1
10087119,111140-01_10087119_0100,1
10087140,110980-01_10087140_0700,1
10087140,110980-01_10087140_0701,1
10087140,110980-01_10087140_0702,1
10087140,110980-01_10087140_0703,1
10087140,110980-01_10087140_0704,1
10087140,110980-01_10087140_0705,1
10087140,110980-03_10087140_0800,1
10087140,111190-01_10087140_0100,1
10087140,111190-01_10087140_0101,1
10087140,111190-01_10087140_0102,1
10087151,110980-01_10087151_0704,1
10087151,110980-01_10087151_0703,1
10087151,110980-03_10087151_0800,1
10087151,110980-01_10087151_0701,1
10087151,110980-01_10087151_0702,1
10087184,123510-05_10087184_1200,1
10087187,111230-06_10087187_0200,1
10087187,111260-01_10087187_0500,1
10087187,111260-02_10087187_0510,1
10087394,123530-04_10087394_0800,1
10087394,123530-04_10087394_0801,1
10087509,123590-01_10087509_0103,1
10087509,123590-01_10087509_0104,1
10087667,123420-17_10087667_0200,1
10087855,124870-05_10087855_0500,1
10087856,124870-05_10087856_0500,1
10087992,111260-11_10087992_0540,1
10087992,111260-11_10087992_0500,1
10087992,111260-02_10087992_0510,1
10087992,111260-02_10087992_0530,1
10087997,123540-02_10087997_0200,1
10088013,100600-01_10088013_0210,1
10088015,100600-01_10088015_0210,1
10088021,111190-02_10088021_0100,1
10088092,111260-01_10088092_0520,1
10088092,111260-11_10088092_0500,1
10088092,111260-11_10088092_0510,1
10088134,123410-51_10088134_0500,1
10088146,111190-01_10088146_0104,1
10088146,111190-03_10088146_0300,1
10088146,111190-01_10088146_0103,1
10088146,111190-03_10088146_0301,1
10088146,111190-01_10088146_0101,1
10088146,111190-01_10088146_0100,1
10088146,111190-01_10088146_0102,1
10088146,111190-03_10088146_0302,1
10088210,111190-03_10088210_0302,1
10088210,111190-03_10088210_0301,1
10088210,111190-01_10088210_0101,1
10088210,111190-01_10088210_0100,1
10088477,110980-01_10088477_0700,1
10088477,110980-01_10088477_0702,1
10088477,110980-01_10088477_0706,1
10088477,110980-01_10088477_0707,1
10088477,110980-01_10088477_0708,1
10088477,110980-02_10088477_0200,1
10088477,110980-02_10088477_0201,1
10088500,111230-06_10088500_0100,1
10088500,111230-06_10088500_0200,1
10088651,135150-03_10088651_0200,1
10088735,123550-03_10088735_1100,1
10088735,123550-03_10088735_1000,1
10088759,135100-08_10088759_0100,1
10088759,135100-21_10088759_0300,1
10088833,110980-01_10088833_0700,1
10088833,110980-01_10088833_0702,1
10088833,110980-01_10088833_0705,1
10088833,110980-01_10088833_0706,1
10088833,111190-01_10088833_0100,1
10088833,111190-01_10088833_0101,1
10088833,111190-01_10088833_0102,1
10088833,111190-03_10088833_0300,1
10088926,111190-01_10088926_0101,1
10088926,111190-03_10088926_0300,1
10088926,111190-01_10088926_0100,1
10088926,111190-01_10088926_0102,1
10088926,110980-01_10088926_0703,1
10088926,111180-05_10088926_0200,1
10088926,110980-01_10088926_0700,1
10088927,110980-01_10088927_0700,1
10088927,110980-01_10088927_0701,1
10088927,110980-01_10088927_0702,1
10088927,110980-01_10088927_0703,1
10088927,111180-05_10088927_0200,1
10088931,111180-05_10088931_0200,1
10088931,111190-01_10088931_0100,1
10088931,111190-01_10088931_0101,1
10088931,111190-01_10088931_0102,1
10088986,100410-09_10088986_0300,1
10089008,124930-54_10089008_5410,1
10089008,124930-54_10089008_5400,1
10089184,123680-12_10089184_0300,1
10089368,100610-10_10089368_0210,1
10089368,100610-10_10089368_0220,1
10089368,100610-10_10089368_0230,1
10089368,100610-10_10089368_0240,1
10089368,100610-50_10089368_0310,1
10089368,100610-50_10089368_0320,1
10089368,100610-50_10089368_0330,1
10089368,100610-50_10089368_0340,1
10089368,100650-01_10089368_0400,1
10089392,124930-54_10089392_5400,1
10089392,124930-13_10089392_1300,1
10089392,124930-17_10089392_1700,1
10089392,124930-50_10089392_5000,1
10089403,100680-10_10089403_0110,1
10089438,151210-06_10089438_0700,1
10089440,111190-01_10089440_0100,1
10089440,111190-01_10089440_0102,1
10089440,111190-01_10089440_0107,1
10089444,111580-07_10089444_0300,1
10089481,124930-05_10089481_0500,1
10089481,124930-05_10089481_0510,1
10089545,123080-12_10089545_0400,1
10089545,123080-12_10089545_0500,1
10089545,123080-06_10089545_0800,1
10089545,123080-06_10089545_0900,1
10089601,123530-04_10089601_0800,1
10089662,111190-01_10089662_0101,1
10089748,111190-01_10089748_0100,1
10089804,123550-12_10089804_1000,1
10089831,123530-04_10089831_0801,1
10089831,123530-04_10089831_0800,1
10089832,123530-04_10089832_0800,1
10089832,123530-04_10089832_0801,1
10089938,123530-01_10089938_0500,1
10089951,123680-03_10089951_0300,1
10089951,123680-03_10089951_0400,1
10095046,111190-01_10095046_0101,1
10095046,111190-01_10095046_0104,1
10095046,111190-01_10095046_0106,1
10095144,135090-15_10095144_0300,1
10095145,135090-15_10095145_0200,1
10095146,151580-03_10095147_0400,1
10095146,151580-03_10095147_0300,1
10095146,151580-03_10095147_0040,1
10095146,151580-03_10095147_0030,1
10095146,151580-02_10095147_0020,1
10095146,151580-01_10209308_0100,1
10095146,151580-01_10209308_0010,1
10095146,151580-02_10095147_0200,1
10095147,151580-02_10095147_0020,1
10095147,151580-02_10095147_0200,1
10095147,151580-03_10095147_0030,1
10095147,151580-03_10095147_0040,1
10095147,151580-03_10095147_0300,1
10095147,151580-03_10095147_0400,1
10095148,151580-01_10209308_0010,1
10095148,151580-01_10209308_0100,1
10095155,135100-21_10095155_0500,1
10095167,135100-04_10095167_0200,1
10095240,111260-11_10095240_0500,1
10095240,111260-11_10095240_0600,1
10095275,135150-03_10095275_0200,1
10095303,151210-44_10010742_0100,1
10095384,110320-02_10095384_0100,1
10095618,124600-04_10095618_0800,1
10095618,124600-06_10095618_0600,1
10095682,110980-01_10095682_0700,1
10095682,110980-01_10095682_0701,1
10095682,110980-01_10095682_0702,1
10095682,110980-01_10095682_0706,1
10095735,111150-01_10095735_0400,1
10095735,111150-02_10095735_0100,1
10095736,111150-04_10095736_0300,1
10095803,124930-30_10095803_3000,1
10095837,111190-01_10095837_0101,1
10095837,111190-01_10095837_0103,1
10095837,111190-01_10095837_0104,1
10095844,110980-01_10095844_0701,1
10095844,110980-01_10095844_0703,1
10095844,110980-01_10095844_0704,1
10095844,110980-01_10095844_0705,1
10095844,110980-03_10095844_0800,1
10095849,123090-01_10060650_0100,1
10095849,123090-01_10205585_0100,1
10095852,111190-01_10095852_0100,1
10095852,111190-01_10095852_0101,1
10095856,151580-01_10209308_0100,1
10095856,151580-01_10209308_0010,1
10095878,111260-01_10095878_0500,1
10095915,124260-01_10095915_0100,1
10095994,110980-01_10095994_0700,1
10095994,110980-01_10095994_0701,1
10095994,110980-01_10095994_0702,1
10095994,110980-01_10095994_0704,1
10095994,110980-02_10095994_0200,1
10095994,110980-02_10095994_0201,1
10096123,111260-11_10096123_0500,1
10096123,111260-11_10096123_0600,1
10096247,111190-01_10096247_0104,1
10096247,111190-01_10096247_0100,1
10096247,111190-01_10096247_0101,1
10096247,111190-03_10096247_0300,1
10096275,111040-01_10096275_0600,1
10096275,111040-04_10096275_0300,1
10096281,123510-02_10096281_1000,1
10096282,123420-20_10096282_0100,1
10096297,123530-05_10096297_0800,1
10096297,123530-05_10096297_0801,1
10096334,123550-04_10096334_1000,1
10096334,123550-04_10096334_1100,1
10096334,123550-04_10096334_1200,1
10096345,135150-12_10096345_0300,1
10096426,110980-01_10096426_0700,1
10096426,110980-01_10096426_0701,1
10096426,110980-01_10096426_0702,1
10096426,110980-01_10096426_0703,1
10096427,135150-12_10096427_0300,1
10096457,123530-03_10096457_0200,1
10096457,123530-01_10096457_0500,1
10096575,140330-05_10096575_0100,1
10096599,135150-12_10096599_0300,1
10096601,135150-12_10096601_0300,1
10096602,111260-01_10096602_0510,1
10096602,111260-01_10096602_0520,1
10096602,111260-11_10096602_0500,1
10096602,111260-11_10096602_0600,1
10096604,135150-12_10096604_0300,1
10096620,100360-06_10097260_0100,1
10096716,111140-01_10096716_0100,1
10096718,135120-01_10096718_0100,1
10096728,111190-01_10096728_0102,1
10096728,111190-01_10096728_0101,1
10096728,111190-03_10096728_0300,1
10096728,111190-01_10096728_0100,1
10096728,110980-01_10096728_0700,1
10096728,110980-01_10096728_0705,1
10096728,110980-01_10096728_0702,1
10096728,110980-01_10096728_0706,1
10096728,110980-01_10096728_0704,1
10096850,124930-12_10096850_1200,1
10096850,124930-12_10096850_1210,1
10096850,124930-13_10096850_1300,1
10096850,124930-13_10096850_1310,1
10096860,110980-01_10096860_0700,1
10096860,110980-01_10096860_0701,1
10096860,110980-01_10096860_0703,1
10096860,110980-01_10096860_0706,1
10096860,111190-01_10096860_0101,1
10096894,100470-08_10096894_0110,1
10096959,100680-10_10096959_0310,1
10097089,100610-70_10097089_0210,1
10097091,123020-73_10097091_0700,1
10097098,111190-01_10097098_0101,1
10097098,111190-03_10097098_0300,1
10097098,111190-03_10097098_0302,1
10097125,135120-07_10097125_0200,1
10097260,100360-06_10097260_0100,1
10097316,111640-03_10097316_0300,1
10097402,135150-12_10097402_0300,1
10097432,123530-04_10097432_0800,1
10097475,111190-01_10097475_0103,1
10097475,111190-03_10097475_0201,1
10097475,111190-01_10097475_0102,1
10097475,111190-01_10097475_0100,1
10097505,123410-15_10097505_0300,1
10097565,111500-01_10071922_0200,1
10097600,124930-70_10097600_7000,1
10097600,124930-70_10097600_7010,1
10097740,123540-06_10097740_0200,1
10097803,124930-52_10097803_5200,1
10097803,124930-52_10097803_5201,1
10097808,111190-01_10097808_0100,1
10097808,110980-01_10097808_0703,1
10097808,110980-01_10097808_0702,1
10097808,110980-01_10097808_0701,1
10097808,110980-01_10097808_0700,1
10097919,124930-13_10097919_130A,1
10097919,124930-13_10097919_130B,1
10097919,124930-13_10097919_130C,1
10097919,124930-13_10097919_130D,1
10097919,124930-13_10097919_131A,1
10097919,124930-13_10097919_131B,1
10097919,124930-13_10097919_131C,1
10097919,124930-13_10097919_131D,1
10123558,134130-05_10123558_1400,1
10123885,134130-41_10123885_1300,1
10123885,134130-05_10123885_1700,1
10124196,134130-05_10124196_1400,1
10124639,134270-03_10124639_0200,1
10124888,134270-03_10124888_0200,1
10134407,134270-02_10134407_0100,1
10134408,134270-02_10134408_0100,1
10134410,134270-03_10134410_0200,1
10138795,134270-02_10138795_0100,1
10141654,134130-05_10141654_1400,1
10142212,134130-05_10142212_1400,1
10175465,134130-05_10175465_1400,1
10175465,134130-41_10175465_1300,1
10175466,134130-05_10175466_1700,1
10175467,134130-05_10175467_1400,1
10175467,134130-41_10175467_1300,1
10193317,134130-05_10193317_1400,1
10193336,134130-05_10193336_1400,1
10193370,134130-05_10193370_1400,1
10193372,134130-05_10193372_1400,1
10193373,134130-05_10193373_1400,1
10200021,123590-06_10200021_0200,1
10200021,123590-08_10200021_0400,1
10200358,111260-01_10200358_0400,1
10200389,124930-58_10004808_2200,1
10200397,111190-01_10200397_0101,1
10200397,111190-01_10200397_0105,1
10200397,111190-01_10200397_0107,1
10200423,111580-07_10200423_0200,1
10200486,123590-06_10200486_0101,1
10200685,135150-10_10200685_0200,1
10200729,100680-10_10200729_0210,1
10200730,100680-10_10200730_0110,1
10200732,100680-10_10200732_0210,1
10200778,100600-01_10200778_0210,1
10200837,111470-05_10200837_0101,1
10200841,111640-08_10200841_0800,1
10200990,111260-01_10200990_0500,1
10200990,111260-11_10200990_0600,1
10201018,111190-01_10201018_0101,1
10201018,111190-01_10201018_0105,1
10201018,111190-01_10201018_0106,1
10201018,111190-03_10201018_0201,1
10201018,111190-03_10201018_0202,1
10201074,123590-01_10201074_0102,1
10201074,123590-01_10201074_0103,1
10201074,123590-01_10201074_0200,1
10201074,123590-01_10201074_0300,1
10201117,111260-02_10201117_0520,1
10201117,111260-02_10201117_0500,1
10201117,111260-02_10201117_0510,1
10201120,110980-01_10201120_0700,1
10201120,110980-01_10201120_0702,1
10201120,110980-01_10201120_0704,1
10201120,110980-01_10201120_0705,1
10201120,110980-01_10201120_0706,1
10201120,111190-01_10201120_0100,1
10201120,111190-01_10201120_0101,1
10201120,111190-01_10201120_0102,1
10201120,111190-03_10201120_0300,1
10201120,111190-03_10201120_0302,1
10201152,111190-01_10201152_0100,1
10201152,110980-01_10201152_0704,1
10201152,110980-01_10201152_0700,1
