K,P,C,r_y
10402908.0,123530-01_10000839_0500,331,-86.29
10095915.0,123530-01_10000839_0501,332,-26.43
10402908.0,123530-01_10000839_0501,333,-86.29
10001622.0,135120-15_10000879_0200,334,-1.639
10200240.0,135120-15_10000879_0200,335,-1040.816
10000879.0,135120-07_10000882_0200,336,-100.0
10067070.0,151550-05_10000902_0300,337,-25.0
10068619.0,151550-05_10000902_0300,338,0.18
10070353.0,151550-05_10000902_0300,339,0.03
10070354.0,151550-05_10000902_0300,340,0.475
10074217.0,151550-05_10000902_0300,341,0.728
10211483.0,151550-05_10000902_0300,342,-97.0
10241246.0,151550-05_10000902_0300,343,-6.0
10002820.0,123540-08_10000960_0200,344,-84.0
10006386.0,123540-08_10000960_0200,345,-22.0
10062060.0,123540-10_10000960_0100,346,-110.0
10003689.0,110980-01_10000987_0700,347,-62.3
10007980.0,110980-01_10000987_0700,348,-0.1
10072056.0,110980-01_10000987_0700,349,-28.33
10544332.0,110980-01_10000987_0700,350,-0.209
10003689.0,110980-01_10000987_0701,351,-62.3
10007980.0,110980-01_10000987_0701,352,-0.1
10072056.0,110980-01_10000987_0701,353,-28.33
10544332.0,110980-01_10000987_0701,354,-0.209
10003689.0,110980-01_10000987_0702,355,-62.3
10007980.0,110980-01_10000987_0702,356,-0.1
10072056.0,110980-01_10000987_0702,357,-28.33
10544332.0,110980-01_10000987_0702,358,-0.209
10003689.0,110980-01_10000987_0706,359,-62.3
10007980.0,110980-01_10000987_0706,360,-0.1
10072056.0,110980-01_10000987_0706,361,-28.33
10544332.0,110980-01_10000987_0706,362,-0.209
10003689.0,111190-01_10000987_0100,363,-61.629
10007980.0,111190-01_10000987_0100,364,-0.113
10072056.0,111190-01_10000987_0100,365,-28.926
10544332.0,111190-01_10000987_0100,366,-0.23199999999999998
10003689.0,111190-01_10000987_0101,367,-61.629
10007980.0,111190-01_10000987_0101,368,-0.113
10072056.0,111190-01_10000987_0101,369,-28.926
10544332.0,111190-01_10000987_0101,370,-0.23199999999999998
10003689.0,111190-01_10000987_0102,371,-61.629
10007980.0,111190-01_10000987_0102,372,-0.113
10072056.0,111190-01_10000987_0102,373,-28.926
10544332.0,111190-01_10000987_0102,374,-0.23199999999999998
10003689.0,111190-03_10000987_0300,375,-61.629
10007980.0,111190-03_10000987_0300,376,-0.113
10072056.0,111190-03_10000987_0300,377,-28.926
10544332.0,111190-03_10000987_0300,378,-0.23199999999999998
10048078.0,123470-20_10001063_0300,379,-2.0
10048277.0,123470-20_10001063_0300,380,-5.2
10048451.0,123470-20_10001063_0300,381,-3.8
10049590.0,123470-20_10001063_0300,382,-19.5
10049831.0,123470-20_10001063_0300,383,-0.18
10049833.0,123470-20_10001063_0300,384,-0.05
10049835.0,123470-20_10001063_0300,385,-0.33
10049891.0,123470-20_10001063_0300,386,-12.0
10060027.0,123470-20_10001063_0300,387,-1.0
10060027.0,123470-20_10001063_0300,388,1.0
10097566.0,123470-20_10001063_0300,389,-12.8
10210215.0,123470-20_10001063_0300,390,-4.0
10210215.0,123470-20_10001063_0300,391,4.0
10401118.0,123470-20_10001063_0300,392,-0.8
10401370.0,123470-20_10001063_0300,393,-4.5
10402352.0,123470-20_10001063_0300,394,-3.6
10409568.0,123470-20_10001063_0300,395,-30.2
10412420.0,123470-20_10001063_0300,396,-19.5
10777095.0,123470-20_10001063_0300,397,-0.65
10842989.0,123470-20_10001063_0300,398,-4.0
10003689.0,123530-05_10001066_0800,399,-15.11
10047597.0,123530-05_10001066_0800,400,-16.29
10049269.0,123530-05_10001066_0800,401,-5.5
10563297.0,123530-05_10001066_0800,402,-0.099
10002820.0,111130-10_10001095_0100,403,-86.30799999999999
10000440.0,111260-02_10001109_0500,404,-24.451999999999998
