P,u
124930-13_10010680_1310,3179.484
124600-12_10010697_0300,564.108
151210-44_10010742_0100,150000.0
123510-02_10010755_1000,14520.0
123510-05_10010755_1100,8422.8
110980-01_10010953_0700,187920.0
110980-01_10010953_0702,187920.0
110980-01_10010953_0704,187920.0
110980-01_10010953_0705,187920.0
111190-01_10010953_0100,54287.688
111190-01_10010953_0101,54287.688
111190-01_10010953_0102,54287.688
111190-03_10010953_0300,50033.556
111190-03_10010953_0301,50033.556
110980-01_10010978_0700,228240.0
110980-01_10010978_0701,228240.0
110980-01_10010978_0703,228240.0
110980-01_10010978_0704,228240.0
110980-01_10010979_0700,184320.0
110980-01_10010979_0701,184320.0
110980-01_10010979_0703,184320.0
110980-01_10010979_0705,184320.0
100440-08_10011097_0200,16800.0
124930-30_10011211_3000,5726.316
111150-02_10011214_0200,23325.0
123510-02_10011329_1000,9732.0
135100-21_10011338_0500,827.652
151450-01_10011566_0100,37440.0
111350-14_10011664_6411,13200.0
111350-17_10011664_6711,13200.0
110980-01_10011844_0700,86160.0
110980-01_10011844_0702,86160.0
110980-01_10011844_0703,86160.0
111190-01_10011844_0101,21942.864
111190-01_10011844_0103,21942.864
111190-01_10011844_0109,21942.864
111190-03_10011930_0300,30279.108
123550-11_10011993_1000,12800.4
124600-12_10012005_0400,419.052
135100-03_10012063_0100,6440.142852000001
111150-01_10012221_0400,39960.0
111150-02_10012221_0100,40430.004
135130-02_10012233_0200,2365.943112
135100-21_10012263_0500,1249.92
124930-05_10012293_0501,16611.24
124930-05_10012293_0502,18666.672
124930-05_10012293_0503,7267.608
123470-20_10012336_0300,830.16
123530-05_10012384_0800,12405.684
123520-07_10012385_0201,8160.0
123520-07_10012385_0202,8160.0
123550-03_10012422_1000,15792.0
123550-03_10012422_1100,15792.0
123680-16_10012569_0400,1368.0
123680-16_10012569_0100,869.4
123590-02_10012587_0400,8796.0
123590-02_10012587_0500,8796.0
123590-06_10012587_0201,9624.0
135100-08_10012630_0500,735.432
110980-01_10012680_0700,142560.0
111190-01_10012680_0101,52690.992
111190-01_10012680_0102,52690.992
110980-01_10012699_0701,159600.0
110980-01_10012699_0702,159600.0
111180-08_10012746_0100,18000.0
111180-08_10012746_0101,18000.0
123520-17_10012766_0100,14400.0
111130-11_10012792_0100,34500.0
123410-25_10012870_0300,11952.0
111230-06_10012983_0100,36866.568
111230-06_10012983_0200,36866.568
123530-05_10013116_0800,15506.172
123530-05_10013116_0801,15506.172
124930-17_10013130_170A,3392.004
124930-17_10013130_170B,3392.004
124930-17_10013130_170C,3392.004
123590-06_10013228_0300,6672.0
100470-08_10013242_0110,9000.0
123540-05_10013354_0100,3000.0
124870-04_10013360_0500,3523.890996
111190-01_10013481_0101,23266.152
111190-01_10013481_0103,23266.152
111190-01_10013481_0109,23266.152
111700-03_10013610_0100,2400.0
123680-09_10013726_0300,338.532
100600-01_10013791_0410,144.000792
100630-10_10013791_0310,233.99936399999999
123410-15_10013914_0100,21601.068
124870-03_10013987_0500,4800.0
135130-33_10013990_0200,280.32
135120-14_10014326_0100,339.876
123410-25_10014333_0300,10248.0
124500-02_10014357_0200,2640.0
111140-01_10014374_0100,74922.432
136040-14_10014496_0500,384.0
123530-01_10014529_0500,8537.904
123410-15_10014597_0400,25620.0
110980-01_10014688_0100,145200.0
124930-30_10014758_3000,4733.328
123410-15_10014806_0200,53700.0
123410-15_10014806_0210,53700.0
111230-06_10014827_0100,32705.124
111230-06_10014827_0200,32705.124
111190-01_10014969_0101,44417.196
111190-01_10014969_0103,44417.196
111190-01_10014969_0105,44417.196
111680-01_10014994_0200,77199.99995999999
111680-01_10014994_0300,77199.99995999999
111140-01_10015098_0100,94220.88
151450-11_10015136_0100,3300.0
110980-01_10015141_0700,114000.0
110980-01_10015141_0702,114000.0
110980-01_10015141_0705,114000.0
110980-01_10015141_0706,114000.0
110980-02_10015141_0200,16800.0
124600-12_10015241_0300,681.288
135120-10_10015258_0300,3305.652
100620-06_10015264_0200,1446.0
100620-06_10015267_0200,3759.9999960000005
123470-20_10015287_0300,1227.6
123530-05_10015430_0800,12861.42
124600-04_10015436_0500,1109.244
124600-04_10015436_0600,549.996
111240-06_10015455_0100,1920.0
111240-06_10015456_0200,1920.0
110980-01_10015469_0701,77640.0
110980-01_10015469_0702,77640.0
110980-01_10015469_0703,77640.0
110980-01_10015469_0704,77640.0
110980-01_10015469_0705,77640.0
110980-01_10015469_0800,180000.0
110980-03_10015469_0800,58604.652
111190-01_10015469_0101,23767.632
111190-01_10015469_0102,23767.632
111190-01_10015469_0103,23767.632
111190-03_10015469_0300,19444.176
151310-01_10015508_0200,728.496
124930-05_10015544_0500,16753.464
100650-02_10015581_0210,368.39228399999996
123080-13_10015690_0400,1440.0
123540-12_10015690_0300,288.0
123080-07_10015691_0700,21384.0
100600-01_10015696_0210,600.0
110980-01_10015715_0600,113880.0
110980-01_10015715_0601,113880.0
110980-01_10015715_0602,113880.0
110980-01_10015715_0603,113880.0
110980-01_10015715_0604,113880.0
111220-03_10015750_0300,5520.0
123540-12_10015781_0600,1584.0
123410-25_10015911_0300,9701.532
123530-04_10015928_0900,15138.156
135120-19_10016000_0100,6164.004
110980-01_10016035_0704,59880.0
110980-01_10016035_0706,59880.0
111190-01_10016035_0101,19543.572
111190-01_10016035_0105,19543.572
111190-01_10016035_0106,19543.572
111190-03_10016035_0400,20155.116
135150-03_10016056_0200,867.996
135150-12_10016056_0300,287.1
135150-15_10016056_0400,1420.2
124930-13_10016057_1300,2048.784
124930-13_10016057_1310,2048.784
124930-17_10016057_1700,2187.504
124930-17_10016057_1710,2187.504
124930-17_10016057_7000,2187.504
124930-17_10016057_7010,2187.504
124930-50_10016057_5000,2127.66
124930-50_10016057_5010,2127.66
123510-05_10016154_1000,5136.0
124970-10_10016267_0300,7938.0
123680-23_10016333_0200,3549.6
123080-15_10016346_0800,1948.8
124870-09_10016346_0500,1875.732
123080-12_10016407_0300,9192.0
111260-11_10016528_0500,148857.0
111260-11_10016528_0600,148857.0
123020-03_10016618_0700,1689.6
110980-01_10016630_0700,67920.0
110980-01_10016630_0702,67920.0
110980-01_10016630_0703,67920.0
110980-01_10016630_0704,67920.0
111190-01_10016630_0101,29611.464
111190-01_10016630_0103,29611.464
111190-01_10016630_0105,29611.464
100680-10_10016636_0310,360.00493200000005
110980-01_10016649_0700,111360.0
110980-01_10016649_0701,111360.0
110980-01_10016649_0702,111360.0
110980-01_10016649_0706,111360.0
110980-01_10016649_0707,111360.0
110980-02_10016649_0200,24840.0
111180-01_10016667_0100,12000.0
111180-01_10016667_0200,12000.0
111190-01_10016723_0101,32572.608
111190-01_10016723_0104,32572.608
111190-01_10016723_0106,32572.608
111190-01_10016723_0110,32572.608
123530-05_10016786_0800,20452.92
123530-05_10016786_0801,20452.92
123530-05_10016786_0802,20452.92
100610-50_10016807_0110,540.007392
100610-50_10016807_0120,540.007392
100610-50_10016807_0130,1080.014796
100610-50_10016807_0140,540.007392
100610-10_10016814_0110,1200.0
100610-10_10016814_0120,1200.0
100610-10_10016814_0130,1200.0
100610-10_10016814_0140,1200.0
100610-10_10016814_0200,1259.996544
100610-50_10016816_0310,719.980272
100610-50_10016816_0320,719.980272
100610-50_10016816_0330,719.980272
100610-50_10016816_0340,719.980272
100610-10_10016821_0210,791.971788
100610-10_10016821_0220,791.971788
100610-10_10016821_0230,791.971788
100610-10_10016821_0240,791.971788
100610-10_10016825_0210,1260.0690479999998
100610-10_10016825_0220,1260.0690479999998
100610-10_10016825_0230,1260.0690479999998
100610-10_10016825_0240,1260.0690479999998
100610-50_10016825_0140,1187.9576880000002
111350-14_10016851_6408,8160.0
111350-17_10016851_6708,8160.0
111350-18_10016851_6814,13200.0
110980-01_10016965_0700,154200.0
110980-01_10016965_0702,154200.0
110980-01_10016965_0703,154200.0
110980-01_10016965_0706,154200.0
110980-01_10016965_0900,154200.0
110980-01_10016965_0901,154200.0
110980-01_10016965_0902,154200.0
110980-01_10016965_0903,154200.0
110980-02_10016965_0200,28200.0
110980-02_10016965_0201,28200.0
110980-02_10016965_0800,31680.0
110980-02_10016965_0801,31680.0
111190-01_10016965_0101,33445.788
