K,P,C,r_x
10839311,111260-01_10839311_0100,23206,100.0
10839311,111260-01_10839311_0100,23207,100.0
10839311,111260-01_10839311_0100,23208,100.0
10839311,111260-01_10839311_0100,23209,100.0
10839311,111260-01_10839311_0100,23210,100.0
10839311,111260-01_10839311_0100,23211,100.0
10839311,111260-01_10839311_0100,23212,100.0
10839311,111260-01_10839311_0100,23213,100.0
10839311,111260-01_10839311_0100,23214,100.0
10839311,111260-01_10839311_0100,23215,100.0
10839311,111260-01_10839311_0100,23216,100.0
10839311,111260-01_10839311_0100,23217,100.0
10839311,111260-01_10839311_0100,23218,100.0
10839329,136060-11_10839329_0100,23219,100.0
10839329,136060-11_10839329_0100,23220,100.0
10839329,136060-11_10839329_0100,23221,100.0
10839329,136060-11_10839329_0100,23222,100.0
10839329,136060-11_10839329_0100,23223,100.0
10839329,136060-11_10839329_0100,23224,100.0
10839573,100650-02_10839573_0110,23225,100.0
10841961,111030-07_10841961_1000,23226,100.0
10841961,111030-07_10841961_1000,23227,100.0
10841961,111030-07_10841961_1000,23228,100.0
10842610,135150-07_10842610_0100,23229,100.0
10843160,123590-01_10843160_0100,23230,100.0
10843160,123590-01_10843160_0100,23231,100.0
10843160,123590-01_10843160_0100,23232,100.0
10843160,123590-01_10843160_0100,23233,100.0
10843160,123590-01_10843160_0100,23234,100.0
10843160,123590-01_10843160_0100,23235,100.0
10844603,162080-02_10844603_0100,23236,100.0
10844603,162080-02_10844603_0100,23237,100.0
10845502,123530-05_10845502_0800,23238,100.0
10845502,123530-05_10845502_0800,23239,100.0
10845502,123530-05_10845502_0800,23240,100.0
10845502,123530-05_10845502_0800,23241,100.0
10845502,123530-05_10845502_0800,23242,100.0
10845502,123530-05_10845502_0800,23243,100.0
10845502,123530-05_10845502_0801,23244,100.0
10845502,123530-05_10845502_0801,23245,100.0
10845502,123530-05_10845502_0801,23246,100.0
10845502,123530-05_10845502_0801,23247,100.0
10845502,123530-05_10845502_0801,23248,100.0
10845502,123530-05_10845502_0801,23249,100.0
10845670,111700-09_10845670_0100,23250,100.0
10846132,123410-15_10846132_0100,23251,100.0
10846132,123410-15_10846132_0100,23252,100.0
10846132,123410-15_10846132_0100,23253,100.0
10846132,123410-15_10846132_0100,23254,100.0
10846132,123410-15_10846132_0100,23255,100.0
10846132,123410-15_10846132_0100,23256,100.0
10846132,123410-15_10846132_0100,23257,100.0
10846132,123410-15_10846132_0100,23258,100.0
10847123,100650-01_10847123_0110,23259,100.0
10847123,100650-01_10847123_0110,23260,100.0
10847123,100650-01_10847123_0120,23261,100.0
10847123,100650-01_10847123_0120,23262,100.0
10847186,100610-10_10847186_0110,23263,100.0
10847186,100610-10_10847186_0110,23264,100.0
10847186,100610-10_10847186_0120,23265,100.0
10847186,100610-10_10847186_0120,23266,100.0
10847186,100610-10_10847186_0130,23267,100.0
10847186,100610-10_10847186_0130,23268,100.0
10847186,100610-10_10847186_0140,23269,100.0
10847186,100610-10_10847186_0140,23270,100.0
10847472,100620-01_10847472_0110,23271,100.0
10847612,111260-11_10847612_0100,23272,100.0
10847612,111260-11_10847612_0100,23273,100.0
10847612,111260-11_10847612_0100,23274,100.0
10847612,111260-11_10847612_0100,23275,100.0
10847612,111260-11_10847612_0100,23276,100.0
10847612,111260-11_10847612_0100,23277,100.0
10847612,111260-11_10847612_0100,23278,100.0
10847612,111260-11_10847612_0100,23279,100.0
10847612,111260-11_10847612_0100,23280,100.0
10847612,111260-11_10847612_0100,23281,100.0
10847612,111260-11_10847612_0100,23282,100.0
10847612,111260-11_10847612_0100,23283,100.0
10847612,111260-11_10847612_0100,23284,100.0
10847612,111260-11_10847612_0200,23285,100.0
10847612,111260-11_10847612_0200,23286,100.0
10847612,111260-11_10847612_0200,23287,100.0
10847612,111260-11_10847612_0200,23288,100.0
10847612,111260-11_10847612_0200,23289,100.0
10847612,111260-11_10847612_0200,23290,100.0
10847612,111260-11_10847612_0200,23291,100.0
10847612,111260-11_10847612_0200,23292,100.0
