K,P
10234419,111260-02_10508450_0500
10234419,111260-02_10508450_0600
10234419,111260-02_10520104_0600
10234419,111260-02_10520104_0700
10234419,111260-02_11036459_0500
10234419,111260-03_10001109_0510
10234419,111260-03_10206982_0610
10234419,111260-03_10210987_0610
10234419,111260-03_10297343_0520
10234419,111260-03_10508450_0700
10234419,111260-03_10552353_0300
10234419,111260-03_10980711_0700
10234419,111260-10_10206982_0600
10234419,111260-10_10206982_0630
10234419,111260-10_10210987_0600
10234419,111260-10_10210987_0630
10234419,111260-10_10210987_0640
10234419,111260-10_10980711_0300
10234419,111260-10_10980711_0600
10234419,111260-11_10207201_0500
10234419,111260-11_10207201_0600
10234419,111260-11_10552353_0100
10234419,111260-11_10552353_0200
10234419,111260-11_10847612_0100
10234419,111260-11_10847612_0200
10234419,111260-11_10847612_0300
10234420,111260-01_10070668_0500
10234420,111260-01_10075658_0600
10234420,111260-01_10542880_0400
10234420,111260-02_10001953_0500
10234420,111260-02_10009397_0510
10234420,111260-02_10009397_0520
10234420,111260-02_10009397_0530
10234420,111260-02_10061083_0709
10234420,111260-02_10061083_0710
10234420,111260-02_10064482_0500
10234420,111260-02_10073709_0510
10234420,111260-02_10087992_0510
10234420,111260-02_10087992_0530
10234420,111260-02_10201117_0500
10234420,111260-02_10201117_0510
10234420,111260-02_10201117_0520
10234420,111260-02_10542880_0600
10234420,111260-02_10542880_0700
10234420,111260-03_10001953_0510
10234420,111260-03_10061083_0700
10234420,111260-03_10073709_0500
10234420,111260-11_10009397_0500
10234420,111260-11_10016528_0500
10234420,111260-11_10016528_0600
10234420,111260-11_10017458_0500
10234420,111260-11_10063694_0500
10234420,111260-11_10068659_0500
10234420,111260-11_10068659_0600
10234420,111260-11_10071545_0500
10234420,111260-11_10079726_0500
10234420,111260-11_10082944_0500
10234420,111260-11_10082944_0510
10234420,111260-11_10087992_0500
10234420,111260-11_10087992_0540
10234420,111260-11_10096123_0500
10234420,111260-11_10096123_0600
10234420,111260-11_10263637_0500
10234420,111260-11_10263637_0600
10234420,111260-11_10542880_0600
10234421,111230-06_10077490_0100
10234421,111230-06_10077490_0200
10234421,111230-06_10210990_0100
10234421,111230-06_10210990_0200
10234421,111230-06_10290113_0100
10234421,111230-06_10290113_0200
10234421,111230-06_10603731_0300
10234421,111230-06_10603731_0400
10234421,111230-06_10739817_0200
10234421,111230-06_10739817_0300
10234421,111230-06_10861977_1111
10234421,111230-06_10879645_0200
10234421,111230-06_10879645_0300
10234421,111230-06_10882870_0100
10234421,111230-06_10882870_0300
10234421,111230-06_10957089_0300
10234421,111230-06_10963671_0300
10234421,111230-06_10970539_0200
10234421,111230-06_10981341_1111
10234421,111230-06_10984174_1111
10234421,111230-06_10991906_1111
10234421,111230-06_10991907_1111
10234421,111230-06_10992173_0100
10234421,111230-06_10992173_0200
10234421,111230-06_10996525_0300
10234421,111230-06_10996525_0400
10234421,111230-06_10999735_1111
10234421,111230-06_11006069_1111
10234421,111230-06_11019881_1111
10234421,111230-06_11023382_1111
10234421,111230-06_11038708_1111
10234421,111230-06_10991906_0300
10234421,111230-06_11041537_1111
10234421,111260-01_10206982_0620
10234421,111260-01_10210827_0510
10234421,111260-01_10210987_0620
10234421,111260-01_10537599_0500
10234421,111260-01_10552353_0110
10234421,111260-01_10569503_0200
10234421,111260-01_10588840_0300
10234421,111260-01_10603731_0500
10234421,111260-01_10739817_0100
10234421,111260-01_10748892_0400
10234421,111260-01_10839311_0100
10234421,111260-01_10963780_0100
10234421,111260-01_10996525_0500
10234421,111260-01_10879645_0400
10234421,111260-01_10980711_0100
10234421,111260-01_10999735_0100
10234421,111260-01_11031815_0100
10234421,111260-01_10963671_0100
10234421,111260-01_11036590_0100
10234421,111260-02_10206673_0500
10234421,111260-02_10206673_0600
10234421,111260-02_10210827_0500
10234421,111260-02_10210827_0600
10234421,111260-02_10212140_0500
10234421,111260-02_10212140_0510
10234421,111260-02_10212140_0520
10234421,111260-02_10234062_0500
10234421,111260-02_10234062_0510
10234421,111260-02_10234062_0520
10234421,111260-02_10508450_0500
10234421,111260-02_10508450_0600
10234421,111260-02_10515527_0500
10234421,111260-02_10515527_0520
10234421,111260-02_10515527_0530
10234421,111260-02_10537599_0300
10234421,111260-02_10537599_0400
10234421,111260-02_10567149_0500
10234421,111260-02_10567149_0600
10234421,111260-02_10748892_0500
10234421,111260-02_10748892_0600
10234421,111260-03_10206982_0610
10234421,111260-03_10210987_0610
10234421,111260-03_10508450_0700
10234421,111260-03_10552353_0300
10234421,111260-03_10980711_0700
10234421,111260-10_10206982_0600
10234421,111260-10_10206982_0630
10234421,111260-10_10210987_0600
10234421,111260-10_10210987_0630
10234421,111260-10_10210987_0640
10234421,111260-10_10569503_0220
10234421,111260-10_10588840_0400
10234421,111260-10_10980711_0300
10234421,111260-10_10980711_0600
10234421,111260-11_10205163_0500
10234421,111260-11_10205163_0510
10234421,111260-11_10205211_0500
10234421,111260-11_10205211_0600
10234421,111260-11_10211142_0500
10234421,111260-11_10211142_0510
10234421,111260-11_10552353_0100
10234421,111260-11_10552353_0200
10234421,111260-11_10739817_0500
10234421,111260-11_10739817_0600
10234421,111260-11_10739817_0800
10234421,111260-11_11019881_0100
10234422,111260-01_10781543_0100
10234422,111260-01_10839311_0100
10234422,111260-02_10207964_0510
10234422,111260-02_10207964_0520
10234422,111260-02_10813204_0100
10234422,111260-03_10207964_0500
10234422,111260-03_10813204_0700
10234422,111260-10_10000425_0500
10234424,111230-06_10981341_1111
10234424,111260-01_10206982_0620
10234424,111260-01_10748892_0400
10234424,111260-01_10963780_0100
10234424,111260-01_11036590_0100
10234424,111260-02_10508450_0500
10234424,111260-02_10508450_0600
10234424,111260-02_10748892_0500
10234424,111260-02_10748892_0600
10234424,111260-03_10206982_0610
10234424,111260-03_10508450_0700
10234424,111260-10_10206982_0600
10234424,111260-10_10206982_0630
10234425,111230-06_10063694_0600
10234425,111230-06_10064402_0100
10234425,111230-06_10064402_0200
10234425,111260-01_10075658_0600
10234425,111260-02_10001953_0500
10234425,111260-02_10009397_0510
10234425,111260-02_10009397_0520
10234425,111260-02_10009397_0530
10234425,111260-02_10061083_0709
10234425,111260-02_10061083_0710
10234425,111260-02_10073709_0510
10234425,111260-02_10087992_0510
10234425,111260-02_10087992_0530
10234425,111260-02_10201117_0500
10234425,111260-02_10201117_0510
10234425,111260-02_10201117_0520
10234425,111260-03_10001953_0510
10234425,111260-03_10061083_0700
10234425,111260-03_10073709_0500
10234425,111260-11_10009397_0500
10234425,111260-11_10016528_0500
10234425,111260-11_10016528_0600
10234425,111260-11_10063694_0500
10234425,111260-11_10068659_0500
10234425,111260-11_10068659_0600
10234425,111260-11_10082944_0500
10234425,111260-11_10082944_0510
10234425,111260-11_10087992_0500
10234425,111260-11_10087992_0540
10234426,111260-01_10070668_0500
10234426,111260-01_10200358_0400
10234426,111260-01_10207201_0510
10234426,111260-01_10520104_0500
10234426,111260-01_10579452_0300
10234426,111260-01_10579452_0400
10234426,111260-01_10588639_0500
10234426,111260-01_10739817_0100
10234426,111260-01_10831370_0200
10234426,111260-01_10975650_0100
10234426,111260-01_10997060_0100
10234426,111260-02_10009397_0510
10234426,111260-02_10009397_0520
10234426,111260-02_10009397_0530
10234426,111260-02_10087992_0510
10234426,111260-02_10087992_0530
10234426,111260-02_10520104_0600
10234426,111260-02_10520104_0700
10234426,111260-02_10588639_0700
10234426,111260-02_10588639_0800
10234426,111260-11_10009397_0500
10234426,111260-11_10016528_0500
10234426,111260-11_10016528_0600
10234426,111260-11_10017458_0500
10234426,111260-11_10063694_0500
10234426,111260-11_10082944_0500
10234426,111260-11_10082944_0510
10234426,111260-11_10084121_0700
10234426,111260-11_10084121_0800
10234426,111260-11_10087992_0500
10234426,111260-11_10087992_0540
10234426,111260-11_10095240_0500
10234426,111260-11_10095240_0600
10234426,111260-11_10205163_0500
10234426,111260-11_10205163_0510
10234426,111260-11_10205211_0500
10234426,111260-11_10205211_0600
10234426,111260-11_10207201_0500
10234426,111260-11_10207201_0600
10234426,111260-11_10209908_0500
10234426,111260-11_10209908_0510
10234426,111260-11_10211142_0500
10234426,111260-11_10211142_0510
10234426,111260-11_10606773_0300
10234426,111260-11_10606773_0400
10234426,111260-11_10739817_0500
10234426,111260-11_10739817_0600
10234426,111260-11_10739817_0800
10234426,111260-11_10831370_0300
10234426,111260-11_10975650_0400
10234426,111260-11_10975650_0500
10234426,111260-11_10588639_0700
10234426,111260-11_10588639_0800
10234427,111220-05_10062735_0500
10234427,111220-05_11036765_0500
10234427,111230-06_10007932_0100
10234427,111230-06_10007932_0200
10234427,111230-06_10008111_0100
10234427,111230-06_10008111_0200
10234427,111230-06_10014827_0100
10234427,111230-06_10014827_0200
10234427,111230-06_10063694_0600
10234427,111230-06_10063713_0100
10234427,111230-06_10063713_0200
10234427,111230-06_10064402_0100
10234427,111230-06_10064402_0200
10234427,111230-06_10066095_0100
10234427,111230-06_10066095_0200
10234427,111230-06_10067660_0100
10234427,111230-06_10067660_0200
10234427,111230-06_10070668_0100
10234427,111230-06_10070668_0200
10234427,111230-06_10077490_0100
10234427,111230-06_10077490_0200
10234427,111230-06_10087071_0100
10234427,111230-06_10087071_0200
10234427,111230-06_10087187_0200
10234427,111230-06_10088500_0100
10234427,111230-06_10088500_0200
10234427,111230-06_10201631_0200
10234427,111230-06_10201631_0300
10234427,111230-06_10201798_0100
10234427,111230-06_10201798_0200
10234427,111230-06_10202135_0100
10234427,111230-06_10202135_0200
10234427,111230-06_10204538_0100
10234427,111230-06_10204538_0200
10234427,111230-06_10207201_0100
10234427,111230-06_10207201_0200
10234427,111230-06_10210990_0100
10234427,111230-06_10210990_0200
10234427,111230-06_10211150_0100
10234427,111230-06_10211150_0200
10234427,111230-06_10211274_0100
10234427,111230-06_10211274_0200
10234427,111230-06_10211276_0100
10234427,111230-06_10211276_0200
10234427,111230-06_10211279_0100
10234427,111230-06_10211279_0200
10234427,111230-06_10234339_0600
10234427,111230-06_10263637_0100
10234427,111230-06_10290113_0100
10234427,111230-06_10290113_0200
10234427,111230-06_10520925_0100
10234427,111230-06_10520925_0200
10234427,111230-06_10537771_0100
10234427,111230-06_10537771_0200
10234427,111230-06_10542880_0200
10234427,111230-06_10542880_0300
10234427,111230-06_10566888_0100
10234427,111230-06_10566888_0300
10234427,111230-06_10581250_0100
10234427,111230-06_10581250_0200
10234427,111230-06_10596825_0300
10234427,111230-06_10596825_0400
10234427,111230-06_10603449_0100
10234427,111230-06_10603449_0300
10234427,111230-06_10603731_0300
10234427,111230-06_10603731_0400
10234427,111230-06_10604591_0300
10234427,111230-06_10604591_0400
10234427,111230-06_10606773_0500
10234427,111230-06_10606773_0600
10234427,111230-06_10703850_0300
10234427,111230-06_10703850_0400
10234427,111230-06_10705173_0200
10234427,111230-06_10705173_0300
10234427,111230-06_10713748_0100
10234427,111230-06_10713748_0200
10234427,111230-06_10736640_0200
10234427,111230-06_10736640_0300
10234427,111230-06_10739817_0200
10234427,111230-06_10739817_0300
10234427,111230-06_10748624_0200
10234427,111230-06_10748624_0300
10234427,111230-06_10777106_0300
10234427,111230-06_10777106_0400
10234427,111230-06_10784130_0100
10234427,111230-06_10784130_0200
10234427,111230-06_10814907_0100
10234427,111230-06_10814907_0200
10234427,111230-06_10827345_0300
10234427,111230-06_10827345_0400
10234427,111230-06_10839115_1111
10234427,111230-06_10850437_1111
10234427,111230-06_10857100_0200
10234427,111230-06_10857100_0400
10234427,111230-06_10873936_0400
10234427,111230-06_10879645_0200
10234427,111230-06_10879645_0300
10234427,111230-06_10880595_1111
10234427,111230-06_10882870_0100
10234427,111230-06_10882870_0300
10234427,111230-06_10903414_0300
10234427,111230-06_10903414_0400
10234427,111230-06_10909676_0300
10234427,111230-06_10913865_0200
10234427,111230-06_10913865_0300
10234427,111230-06_10921182_1111
10234427,111230-06_10923977_0100
10234427,111230-06_10925745_1111
10234427,111230-06_10933957_0100
10234427,111230-06_10933957_0200
10234427,111230-06_10934610_0200
10234427,111230-06_10934610_0300
10234427,111230-06_10936061_0200
10234427,111230-06_10936061_0300
10234427,111230-06_10949376_1111
10234427,111230-06_10957089_0300
10234427,111230-06_10963671_0300
10234427,111230-06_10965899_0300
10234427,111230-06_10970539_0200
10234427,111230-06_10975622_1111
10234427,111230-06_10975650_0200
10234427,111230-06_10975650_0300
10234427,111230-06_10977545_1111
10234427,111230-06_10981341_1111
10234427,111230-06_10984174_1111
10234427,111230-06_10990525_1111
10234427,111230-06_10991906_1111
10234427,111230-06_10991907_1111
10234427,111230-06_10992173_0100
10234427,111230-06_10992173_0200
10234427,111230-06_10994393_0100
10234427,111230-06_10994393_0200
10234427,111230-06_10996523_1111
10234427,111230-06_10996525_0300
10234427,111230-06_10996525_0400
10234427,111230-06_10999733_0200
10234427,111230-06_10999733_0300
10234427,111230-06_10999735_1111
10234427,111230-06_11001698_1111
10234427,111230-06_11001837_1111
10234427,111230-06_11006069_1111
10234427,111230-06_11010065_0200
10234427,111230-06_11010065_0300
10234427,111230-06_11010808_1111
10234427,111230-06_11017634_1111
10234427,111230-06_11017665_1111
10234427,111230-06_11019881_1111
10234427,111230-06_11022520_1111
10234427,111230-06_10999744_1111
10234427,111230-06_10880595_0300
10234427,111230-06_10999744_0100
10234427,111230-06_11037808_1111
10234427,111230-06_11038103_1111
10234427,111230-06_11036843_1111
10234427,111230-06_11038708_1111
10234427,111230-06_10990525_0100
10234427,111230-06_10991906_0300
10234427,111230-06_11038731_1111
10234427,111230-06_11041537_1111
10234427,111230-06_11042219_1111
10234427,111230-16_10201631_0100
10234427,111230-16_10936061_0100
10234427,111230-16_10201631_0500
10234427,111230-16_10936061_0400
10234427,111240-05_10781664_0200
10234427,111240-16_10712321_0200
10234427,111240-18_10018932_0300
10234427,111260-01_10000411_0600
10234427,111260-01_10064202_0500
10234427,111260-01_10064208_0500
10234427,111260-01_10070668_0500
10234427,111260-01_10075658_0600
10234427,111260-01_10087187_0500
10234427,111260-01_10088092_0520
10234427,111260-01_10095878_0500
10234427,111260-01_10096602_0510
10234427,111260-01_10096602_0520
10234427,111260-01_10200358_0400
10234427,111260-01_10200990_0500
10234427,111260-01_10206982_0620
10234427,111260-01_10207201_0510
10234427,111260-01_10210827_0510
10234427,111260-01_10210987_0620
10234427,111260-01_10210988_0500
10234427,111260-01_10210989_0500
10234427,111260-01_10211232_0500
10234427,111260-01_10211274_0300
10234427,111260-01_10213097_0800
10234427,111260-01_10214085_0500
10234427,111260-01_10234339_0500
10234427,111260-01_10244043_0510
10234427,111260-01_10520104_0500
10234427,111260-01_10537599_0500
10234427,111260-01_10538939_0100
10234427,111260-01_10542880_0400
10234427,111260-01_10552353_0110
10234427,111260-01_10569503_0200
10234427,111260-01_10579452_0300
10234427,111260-01_10579452_0400
10234427,111260-01_10580590_0100
10234427,111260-01_10588639_0500
10234427,111260-01_10588840_0300
10234427,111260-01_10589790_0100
10234427,111260-01_10603731_0500
10234427,111260-01_10709148_0100
10234427,111260-01_10736856_0100
10234427,111260-01_10739817_0100
10234427,111260-01_10748892_0400
10234427,111260-01_10781543_0100
10234427,111260-01_10831370_0200
10234427,111260-01_10839311_0100
10234427,111260-01_10863398_0100
10234427,111260-01_10870400_0500
10234427,111260-01_10913865_0100
10234427,111260-01_10913865_0400
10234427,111260-01_10933957_0300
10234427,111260-01_10955317_0100
10234427,111260-01_10963780_0100
10234427,111260-01_10970945_0400
10234427,111260-01_10970945_0500
10234427,111260-01_10975650_0100
10234427,111260-01_10996525_0500
10234427,111260-01_10997060_0100
10234427,111260-01_10997229_0100
10234427,111260-01_10997788_0300
10234427,111260-01_10934610_0500
10234427,111260-01_10879645_0400
10234427,111260-01_10980711_0100
10234427,111260-01_10999735_0100
10234427,111260-01_11031815_0100
10234427,111260-01_10963671_0100
10234427,111260-01_11036590_0100
10234427,111260-02_10001109_0500
10234427,111260-02_10001109_0520
10234427,111260-02_10001953_0500
10234427,111260-02_10009397_0510
10234427,111260-02_10009397_0520
10234427,111260-02_10009397_0530
10234427,111260-02_10061083_0709
10234427,111260-02_10061083_0710
10234427,111260-02_10064207_0500
10234427,111260-02_10064482_0500
10234427,111260-02_10073709_0510
10234427,111260-02_10087187_0510
10234427,111260-02_10087992_0510
10234427,111260-02_10087992_0530
10234427,111260-02_10201117_0500
10234427,111260-02_10201117_0510
10234427,111260-02_10201117_0520
10234427,111260-02_10206673_0500
10234427,111260-02_10206673_0600
10234427,111260-02_10207964_0510
10234427,111260-02_10207964_0520
10234427,111260-02_10210827_0500
10234427,111260-02_10210827_0600
10234427,111260-02_10212140_0500
10234427,111260-02_10212140_0510
10234427,111260-02_10212140_0520
10234427,111260-02_10234062_0500
10234427,111260-02_10234062_0510
10234427,111260-02_10234062_0520
10234427,111260-02_10244043_0500
10234427,111260-02_10297343_0500
10234427,111260-02_10297343_0510
10234427,111260-02_10508450_0500
10234427,111260-02_10508450_0600
10234427,111260-02_10515527_0500
10234427,111260-02_10515527_0520
10234427,111260-02_10515527_0530
10234427,111260-02_10520104_0600
10234427,111260-02_10520104_0700
10234427,111260-02_10537599_0300
10234427,111260-02_10537599_0400
10234427,111260-02_10567149_0500
10234427,111260-02_10567149_0600
10234427,111260-02_10606772_0600
10234427,111260-02_10709136_0300
10234427,111260-02_10709136_0600
10234427,111260-02_10709148_0300
10234427,111260-02_10748892_0500
10234427,111260-02_10748892_0600
10234427,111260-02_10813204_0100
10234427,111260-02_10933957_0500
10234427,111260-02_10933957_0600
10234427,111260-02_10955317_0600
10234427,111260-02_10234339_0700
10234427,111260-02_10588639_0700
10234427,111260-02_10588639_0800
10234427,111260-02_10542880_0600
10234427,111260-02_10542880_0700
10234427,111260-02_11036459_0500
10234427,111260-02_11019881_0100
10234427,111260-03_10001109_0510
10234427,111260-03_10001953_0510
10234427,111260-03_10061083_0700
10234427,111260-03_10073709_0500
10234427,111260-03_10206982_0610
10234427,111260-03_10207964_0500
10234427,111260-03_10210987_0610
10234427,111260-03_10297343_0520
10234427,111260-03_10508450_0700
10234427,111260-03_10552353_0300
10234427,111260-03_10813204_0700
10234427,111260-03_10955317_0200
10234427,111260-03_10970945_0100
10234427,111260-03_10980711_0700
10234427,111260-10_10000425_0500
10234427,111260-10_10206982_0600
10234427,111260-10_10206982_0630
10234427,111260-10_10210987_0600
10234427,111260-10_10210987_0630
10234427,111260-10_10210987_0640
10234427,111260-10_10538939_0300
10234427,111260-10_10538939_0500
10234427,111260-10_10569503_0220
10234427,111260-10_10588840_0400
10234427,111260-10_10980711_0300
10234427,111260-10_10980711_0600
10234427,111260-10_10234339_0700
10234427,111260-10_10234339_0600
10234427,111260-11_10000411_0500
10234427,111260-11_10009397_0500
10234427,111260-11_10016528_0500
10234427,111260-11_10016528_0600
10234427,111260-11_10017458_0500
10234427,111260-11_10063694_0500
10234427,111260-11_10068659_0500
10234427,111260-11_10068659_0600
10234427,111260-11_10071545_0500
10234427,111260-11_10079726_0500
10234427,111260-11_10082944_0500
10234427,111260-11_10082944_0510
10234427,111260-11_10084121_0700
10234427,111260-11_10084121_0800
10234427,111260-11_10087992_0500
10234427,111260-11_10087992_0540
10234427,111260-11_10088092_0500
10234427,111260-11_10088092_0510
10234427,111260-11_10095240_0500
10234427,111260-11_10095240_0600
10234427,111260-11_10096123_0500
10234427,111260-11_10096123_0600
10234427,111260-11_10096602_0500
10234427,111260-11_10096602_0600
10234427,111260-11_10200990_0600
10234427,111260-11_10205163_0500
10234427,111260-11_10205163_0510
10234427,111260-11_10205211_0500
10234427,111260-11_10205211_0600
10234427,111260-11_10207201_0500
10234427,111260-11_10207201_0600
10234427,111260-11_10208359_0500
10234427,111260-11_10208359_0510
10234427,111260-11_10209908_0500
10234427,111260-11_10209908_0510
10234427,111260-11_10211142_0500
10234427,111260-11_10211142_0510
10234427,111260-11_10233814_0500
10234427,111260-11_10233814_0510
10234427,111260-11_10263637_0500
10234427,111260-11_10263637_0600
10234427,111260-11_10552353_0100
10234427,111260-11_10552353_0200
10234427,111260-11_10589790_0400
10234427,111260-11_10606773_0300
10234427,111260-11_10606773_0400
10234427,111260-11_10739817_0500
10234427,111260-11_10739817_0600
10234427,111260-11_10739817_0800
10234427,111260-11_10831370_0300
10234427,111260-11_10847612_0100
10234427,111260-11_10847612_0200
10234427,111260-11_10847612_0300
10234427,111260-11_10955317_0400
10234427,111260-11_10970945_0600
10234427,111260-11_10970945_0700
10234427,111260-11_10975650_0400
10234427,111260-11_10975650_0500
10234427,111260-11_10588639_0700
10234427,111260-11_10588639_0800
10234427,111260-11_10542880_0600
10234427,111260-11_11019881_0100
10234427,123590-01_10017236_0303
10234427,123590-01_10017236_0304
10234427,123590-01_10017634_0102
10234427,123590-01_10017634_0104
10234427,123590-01_10017634_0300
10234427,123590-01_10017634_0500
10234427,123590-01_10062507_0100
10234427,123590-01_10062507_0101
10234427,123590-01_10073208_0204
10234427,123590-01_10073208_0205
10234427,123590-01_10073316_0302
10234427,123590-01_10073316_0303
10234427,123590-01_10073387_0203
10234427,123590-01_10073594_0202
10234427,123590-01_10073594_0204
10234427,123590-01_10077426_0202
10234427,123590-01_10077426_0204
10234427,123590-01_10084321_0103
10234427,123590-01_10084321_0200
10234427,123590-01_10084321_0300
10234427,123590-01_10084321_0301
10234427,123590-01_10084555_0200
10234427,123590-01_10087509_0103
10234427,123590-01_10087509_0104
10234427,123590-01_10201074_0102
10234427,123590-01_10201074_0103
10234427,123590-01_10201074_0200
10234427,123590-01_10201074_0300
10234427,123590-01_10584916_0300
10234427,123590-01_10783718_0300
10234427,123590-01_10843160_0100
10234427,123590-01_10876150_0102
10234427,123590-01_10876150_0200
10234427,123590-01_10876150_0201
10234427,123590-01_10899264_0200
10234427,123590-01_10936914_0200
10234427,123590-01_10957421_0200
10234427,123590-01_10991724_0100
10234427,123590-01_10994836_0100
10234427,123590-01_10999678_0200
10234427,123590-01_11003259_0100
10234427,123590-01_11003306_0100
10234427,123590-01_11003385_0100
10234427,123590-01_11009655_0100
10234427,123590-01_10783718_0301
10234427,123590-01_11038164_0100
10234427,123590-01_11040923_0200
10234427,123590-01_11040557_0100
10234427,123590-06_10584916_0101
10234427,123590-06_10781664_0400
10234427,123590-08_10555741_0300
10234427,123590-08_10584916_0200
10234427,123590-08_10759076_0300
10234427,123590-08_10783718_0100
10234427,123590-08_10899264_0100
10234427,123590-08_10936914_0100
10234427,123590-08_10957421_0100
10234427,123590-08_10999678_0100
10234427,123590-08_11003259_0200
10234427,123590-08_11040923_0100
10234428,111220-05_10001725_0500
10234428,111220-05_10009482_0500
10234428,111220-05_10010138_0500
10234428,111220-05_10017261_0500
10234428,111220-05_10017830_0500
10234428,111220-05_10074143_0500
10234428,111220-05_10082360_0500
10234429,111230-06_10014827_0100
10234429,111230-06_10014827_0200
10234429,111230-06_10063713_0100
10234429,111230-06_10063713_0200
10234429,111230-06_10067660_0100
10234429,111230-06_10067660_0200
10234429,111230-06_10201798_0100
10234429,111230-06_10201798_0200
10234429,111230-06_10207201_0100
10234429,111230-06_10207201_0200
10234429,111230-06_10263637_0100
10234429,111230-06_10542880_0200
10234429,111230-06_10542880_0300
10234429,111230-06_10581250_0100
10234429,111230-06_10581250_0200
10234429,111230-06_10879645_0200
10234429,111230-06_10879645_0300
10234429,111230-06_10963671_0300
10234429,111230-06_10970539_0200
10234429,111260-01_10000411_0600
10234429,111260-01_10064202_0500
10234429,111260-01_10207201_0510
10234429,111260-01_10244043_0510
10234429,111260-01_10542880_0400
10234429,111260-01_10588840_0300
10234429,111260-01_10879645_0400
10234429,111260-01_10963671_0100
10234429,111260-02_10064482_0500
10234429,111260-02_10201117_0500
10234429,111260-02_10201117_0510
10234429,111260-02_10201117_0520
10234429,111260-02_10244043_0500
10234429,111260-02_10515527_0500
10234429,111260-02_10515527_0520
10234429,111260-02_10515527_0530
10234429,111260-02_10542880_0600
10234429,111260-02_10542880_0700
10234429,111260-10_10000425_0500
10234429,111260-10_10588840_0400
10234429,111260-11_10000411_0500
10234429,111260-11_10017458_0500
10234429,111260-11_10096123_0500
10234429,111260-11_10096123_0600
10234429,111260-11_10207201_0500
10234429,111260-11_10207201_0600
10234429,111260-11_10263637_0500
10234429,111260-11_10263637_0600
10234429,111260-11_10542880_0600
10234430,111230-06_10007932_0100
10234430,111230-06_10007932_0200
10234430,111230-06_10008111_0100
10234430,111230-06_10008111_0200
10234430,111230-06_10014827_0100
10234430,111230-06_10014827_0200
10234430,111230-06_10063694_0600
10234430,111230-06_10063713_0100
10234430,111230-06_10063713_0200
10234430,111230-06_10064402_0100
10234430,111230-06_10064402_0200
10234430,111230-06_10067660_0100
10234430,111230-06_10067660_0200
10234430,111230-06_10070668_0100
10234430,111230-06_10070668_0200
10234430,111230-06_10077490_0100
10234430,111230-06_10077490_0200
10234430,111230-06_10087071_0100
10234430,111230-06_10087071_0200
10234430,111230-06_10087187_0200
10234430,111230-06_10202135_0100
10234430,111230-06_10202135_0200
10234430,111230-06_10204538_0100
10234430,111230-06_10204538_0200
10234430,111230-06_10207201_0100
10234430,111230-06_10207201_0200
10234430,111230-06_10210990_0100
10234430,111230-06_10210990_0200
10234430,111230-06_10211274_0100
10234430,111230-06_10211274_0200
10234430,111230-06_10211276_0100
10234430,111230-06_10211276_0200
10234430,111230-06_10211279_0100
10234430,111230-06_10211279_0200
10234430,111230-06_10234339_0600
10234430,111230-06_10263637_0100
10234430,111230-06_10290113_0100
10234430,111230-06_10290113_0200
10234430,111230-06_10520925_0100
10234430,111230-06_10520925_0200
10234430,111230-06_10566888_0100
10234430,111230-06_10566888_0300
10234430,111230-06_10581250_0100
10234430,111230-06_10581250_0200
10234430,111230-06_10596825_0300
10234430,111230-06_10596825_0400
10234430,111230-06_10603449_0100
10234430,111230-06_10603449_0300
10234430,111230-06_10603731_0300
10234430,111230-06_10603731_0400
10234430,111230-06_10604591_0300
10234430,111230-06_10604591_0400
10234430,111230-06_10606773_0500
10234430,111230-06_10606773_0600
10234430,111230-06_10703850_0300
10234430,111230-06_10703850_0400
10234430,111230-06_10713748_0100
10234430,111230-06_10713748_0200
10234430,111230-06_10739817_0200
10234430,111230-06_10739817_0300
10234430,111230-06_10748624_0200
10234430,111230-06_10748624_0300
10234430,111230-06_10777106_0300
10234430,111230-06_10777106_0400
10234430,111230-06_10814907_0100
10234430,111230-06_10814907_0200
10234430,111230-06_10839115_1111
10234430,111230-06_10857100_0200
10234430,111230-06_10857100_0400
10234430,111230-06_10861977_1111
10234430,111230-06_10873936_0400
10234430,111230-06_10879645_0200
10234430,111230-06_10879645_0300
10234430,111230-06_10880595_1111
10234430,111230-06_10882870_0100
10234430,111230-06_10882870_0300
10234430,111230-06_10903414_0300
10234430,111230-06_10903414_0400
10234430,111230-06_10909676_0300
10234430,111230-06_10913865_0200
10234430,111230-06_10913865_0300
10234430,111230-06_10925745_1111
10234430,111230-06_10933957_0100
10234430,111230-06_10933957_0200
10234430,111230-06_10957089_0300
10234430,111230-06_10963671_0300
10234430,111230-06_10970539_0200
10234430,111230-06_10975622_1111
10234430,111230-06_10975650_0200
10234430,111230-06_10975650_0300
10234430,111230-06_10977545_1111
10234430,111230-06_10981341_1111
10234430,111230-06_10990525_1111
10234430,111230-06_10991906_1111
10234430,111230-06_10991907_1111
10234430,111230-06_10992173_0100
10234430,111230-06_10992173_0200
10234430,111230-06_10994393_0100
10234430,111230-06_10994393_0200
10234430,111230-06_10996525_0300
10234430,111230-06_10996525_0400
10234430,111230-06_10999733_0200
10234430,111230-06_10999733_0300
10234430,111230-06_10999735_1111
10234430,111230-06_11001698_1111
10234430,111230-06_11001837_1111
10234430,111230-06_11006069_1111
10234430,111230-06_11010065_0200
10234430,111230-06_11010065_0300
10234430,111230-06_11010808_1111
