Component,ParameterCM1,Sales Product,Site CodeCM1,2013CM1,2014CM1,2015CM1,January 2015CM1,February 2015CM1,March 2015CM1,April 2015CM1,May 2015CM1,June 2015CM1,July 2015CM1,August 2015CM1,September 2015CM1,October 2015CM1,November 2015CM1,December 2015CM1,Unnamed: 22CM1,Unnamed: 23CM1,Unnamed: 24CM1,ParameterAmount,Site CodeAmount,2013Amount,2014Amount,2015Amount,January 2015Amount,February 2015Amount,March 2015Amount,April 2015Amount,May 2015Amount,June 2015Amount,July 2015Amount,August 2015Amount,September 2015Amount,October 2015Amount,November 2015Amount,December 2015Amount,Unnamed: 22Amount,Unnamed: 23Amount,Unnamed: 24Amount,SpecificCM1
10017925,CM1,60608806,100,294029.28,254579.41999999998,294159.68,22273.23,27147.6,12670.16,5397.36,28901.13,28438.47,14489.880000000001,39015.14,19730.66,28014.58,39092.03,27749.03,0.0,0.0,0.0,Amount,100,375730.5,329102.5,299394.5,19780.0,22230.5,14370.5,5004.0,36903.0,40262.5,12362.5,38370.0,18085.0,27702.5,34124.0,30200.0,0.0,0.0,0.0,0.9825153100674862
10017927,CM1,30043995,50,360986.72,387615.9,483541.71,51330.56,37109.49,26392.07,37298.35,25579.43,17145.7,77527.5,23606.2,47312.87,37340.51,57976.2,43078.09,0.0,0.0,0.0,Amount,50,385917.5,420701.0,423391.5,42320.5,32261.5,22400.0,27801.0,25522.0,18780.0,79823.0,20000.5,37521.5,32741.5,45800.0,38420.0,0.0,0.0,0.0,1.1420675899256363
10017937,CM1,30042072,50,305969.03,348174.19,334993.91,44734.8,21615.17,31561.32,42777.29,14141.28,29398.14,40172.08,27636.95,18537.59,28590.49,21045.49,14281.37,0.0,0.0,0.0,Amount,50,292148.0,320237.032,308983.968,43341.69,22738.392999999996,27687.99,40878.69,14489.778999999999,29589.216,34682.18,23906.185,16658.82,25736.1,17676.42,11598.505,0.0,0.0,0.0,1.0841789370767612
10017954,CM1,91168733,150,433200.75,466970.64,540495.2999999999,90062.11,65736.46,33935.24,21017.7,31953.84,36735.5,48648.37,41540.98,49784.69,40635.53,31248.3,46742.82,0.0,0.0,0.0,Amount,150,531957.0,616595.5,598749.5,92924.0,62522.5,34501.5,25404.5,38410.0,43374.5,73482.0,46560.0,51363.0,37935.0,44567.0,47705.5,0.0,0.0,0.0,0.9027068916132706
10017955,CM1,60478545,100,562160.9199999999,693503.15,658469.3600000001,63408.97,61362.13,64155.35,64112.560000000005,40883.74,42353.37,50711.27,45069.43,42519.29,44758.64,47879.32,89360.32999999999,0.0,0.0,0.0,Amount,100,702098.5,902008.0,716854.5,66981.5,62106.0,68961.5,77120.5,50942.5,52540.5,56281.5,46961.0,39620.5,50201.0,47658.0,97480.0,0.0,0.0,0.0,0.9185537092952616
10017956,CM1,30044009,50,94.22,6933.87,13384.63,1503.46,3744.51,871.47,6139.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Amount,50,308.5,9189.0,9344.0,1525.5,2665.5,764.0,4384.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4324304366438356
10017983,CM1,30154031,50,18945.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Amount,50,7590.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10018039,CM1,30045872,50,376169.92,580268.32,641905.44,17919.44,64567.14,173006.87,20165.01,57609.73,57616.5,35199.7,41796.35,25797.6,40341.39,72068.81,35943.95,0.0,0.0,0.0,Amount,50,364825.0,583715.0,535800.0,12480.0,56205.0,149260.0,16725.0,51225.0,55530.0,27120.0,37920.0,18010.0,24425.0,64660.0,22240.0,0.0,0.0,0.0,1.198031802911534
10018070,CM1,30043435,50,375517.84,399374.35,420610.38,-328.63,43997.86,76731.08,20626.22,40977.09,87892.96,20771.51,14359.22,24079.92,46339.28,14272.72,19692.51,0.0,0.0,0.0,Amount,50,127299.5,134238.0,124609.5,0.5,14000.5,24753.0,5502.0,14576.0,22000.0,8001.5,6000.0,9000.0,10675.0,3000.0,7101.0,0.0,0.0,0.0,3.3754278766867696
10018113,CM1,30044036,50,13525.4,2407.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Amount,50,20800.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
