K,P,r
10000561,123550-09_11040141_1000,-0.439
10000561,123550-10_10219792_1100,-0.21600000000000003
10000566,111040-06_10000585_0700,-106.5
10000566,111040-06_10202334_0100,-106.5
10000566,111500-01_10071922_0200,-106.0
10000566,111650-01_10000566_0100,100.0
10000566,123080-08_10594895_0200,-78.88
10000566,124270-01_10963394_0100,-125.0
10000566,124930-70_10213638_7000,-29.848000000000003
10000566,111040-01_10001590_0900,-181.0
10000574,110320-04_10000468_0100,-56.5
10000574,110320-04_10000468_0200,-56.5
10000574,110320-04_10076196_0300,-49.28
10000574,110320-04_10208979_0100,-26.5
10000574,111570-03_10000574_0200,100.0
10000579,111150-07_10064551_0100,-3.15
10000579,123540-05_10000579_0400,100.0
10000579,123540-08_10000579_0600,100.0
10000585,111040-06_10000585_0700,100.0
10000585,111610-01_10598137_0100,-0.14
10000585,111610-04_10068571_0600,-44.58
10000585,111610-04_10544021_0600,-54.65
10000585,111610-04_10606510_0100,-43.82
10000585,111640-03_10086915_0330,-68.0
10000585,111640-08_10086915_0800,-68.0
10000585,124260-06_10544185_0400,-101.565
10000586,111350-13_10514778_6310,-113.1
10000586,111350-13_10514800_6310,-113.1
10000586,111350-13_10588306_6310,-112.93
10000586,111350-13_10604774_6310,-11.0
10000586,111350-13_10728158_6310,-11.0
10000586,111350-14_10011664_6411,-111.88
10000586,111350-14_10016851_6408,-113.0
10000586,111350-14_10076425_6411,-115.3
10000586,111350-14_10211386_6410,-113.0
10000586,111350-14_10213712_6411,-106.86
10000586,111350-14_10514778_6410,-113.1
10000586,111350-14_10514800_6410,-113.1
10000586,111350-14_10584117_6410,-113.1
10000586,111350-14_10584121_6410,-113.0
10000586,111350-14_10585404_6408,-113.0
10000586,111350-14_10585445_6408,-113.0
10000586,111350-14_10585641_6410,-113.0
10000586,111350-14_10588306_6410,-112.93
10000586,111350-14_10716912_6410,-108.3
10000586,111350-14_10852161_6408,-107.82
10000586,111350-14_10856416_6408,-105.42
10000586,111350-14_10873445_6410,-113.1
10000586,111350-14_10919667_6410,-97.0
10000586,111350-14_10920216_6410,-108.3
10000586,111350-14_10929207_6410,-108.3
10000586,111350-14_10933616_6410,-97.0
10000586,111350-14_10992117_6408,-113.1
10000586,111350-14_11017455_6408,-113.1
10000586,111350-14_10584121_6511,-113.1
10000586,111350-14_10983407_6410,-113.0
10000586,111350-14_11035020_6410,-113.1
10000586,111350-16_10004573_6610,-93.0
10000586,111350-16_10201669_6610,-96.5
10000586,111350-16_10514778_6610,-113.1
10000586,111350-16_10514800_6610,-113.1
10000586,111350-16_10544997_6611,-112.67
10000586,111350-16_10582809_6610,-112.8
10000586,111350-16_10584040_6609,-112.93
10000586,111350-16_10584117_6611,-113.1
10000586,111350-16_10585404_6609,-113.1
10000586,111350-16_10585641_6610,-113.0
10000586,111350-16_10588306_6611,-112.93
10000586,111350-16_10716912_6610,-108.3
10000586,111350-16_10719907_6611,-108.3
10000586,111350-16_10856383_6609,-108.3
10000586,111350-16_10915729_6610,-113.1
10000586,111350-16_10919667_6610,-97.0
10000586,111350-16_10919669_6610,-97.0
10000586,111350-16_10919669_6710,-97.0
10000586,111350-16_10919680_6610,-97.0
10000586,111350-16_10920216_6610,-108.3
10000586,111350-16_10920289_6610,-108.3
10000586,111350-16_10920411_6610,-96.5
10000586,111350-16_10920431_6610,-96.5
10000586,111350-16_10920432_6610,-96.5
10000586,111350-16_10925239_6610,-113.1
10000586,111350-16_10926074_6610,-96.5
10000586,111350-16_10926075_6610,-96.5
10000586,111350-16_10929207_6610,-108.3
10000586,111350-16_10931438_6609,-113.1
10000586,111350-16_10933615_6610,-95.0
10000586,111350-16_10933616_6610,-95.0
10000586,111350-16_10933617_6610,-95.0
10000586,111350-16_10933820_6610,-93.4
10000586,111350-16_10936605_6610,-108.3
10000586,111350-16_10985140_6610,-98.0
10000586,111350-16_11000008_6610,-98.0
10000586,111350-16_11008117_6610,-108.3
10000586,111350-16_11035020_6611,-113.1
10000586,111350-16_10584121_6610,-113.0
10000586,111350-17_10004573_6710,-93.0
10000586,111350-17_10011664_6711,-111.88
10000586,111350-17_10016851_6708,-113.0
10000586,111350-17_10076425_6711,-115.3
10000586,111350-17_10201669_6710,-96.5
10000586,111350-17_10211386_6710,-113.0
10000586,111350-17_10213712_6711,-106.86
10000586,111350-17_10514778_6711,-113.1
10000586,111350-17_10514800_6711,-113.1
10000586,111350-17_10584117_6710,-113.1
10000586,111350-17_10584121_6710,-113.0
10000586,111350-17_10585404_6708,-113.0
10000586,111350-17_10585445_6708,-113.0
10000586,111350-17_10585641_6710,-113.0
10000586,111350-17_10588306_6711,-112.93
10000586,111350-17_10716912_6710,-108.3
10000586,111350-17_10873445_6710,-113.1
10000586,111350-17_10919667_6710,-97.0
10000586,111350-17_10919680_6710,-97.0
10000586,111350-17_10920216_6710,-108.3
10000586,111350-17_10920411_6710,-96.5
10000586,111350-17_10924463_6711,-106.86
10000586,111350-17_10929207_6710,-108.3
10000586,111350-17_10933615_6710,-95.0
10000586,111350-17_10933616_6710,-95.0
10000586,111350-17_10933617_6710,-95.0
10000586,111350-17_11031270_6710,-88.584
10000586,111350-17_11031271_6710,-88.584
10000586,111350-17_11031272_6710,-86.141
10000586,111350-17_11031273_6710,-86.141
10000586,111350-17_11035020_6710,-113.1
10000586,111350-17_10077278_6711,-113.0
10000586,111350-18_10016851_6814,-113.0
10000586,111350-18_10211386_6814,-113.0
10000586,111350-18_10514778_6815,-113.1
10000586,111350-18_10514800_6815,-113.1
10000586,111350-18_10544997_6814,-112.5
10000586,111350-18_10582809_6816,-112.8
10000586,111350-18_10584040_6816,-112.93
10000586,111350-18_10584117_6814,-113.1
10000586,111350-18_10584121_6814,-113.0
10000586,111350-18_10585404_6814,-113.0
10000586,111350-18_10585445_6814,-113.0
10000586,111350-18_10585641_6814,-113.0
10000586,111350-18_10588306_6817,-112.93
10000586,111350-18_10713425_6408,-101.0
10000586,111350-18_10713425_6817,-101.0
10000586,111350-18_10992117_6814,-113.1
10000586,111350-18_11002941_6814,-113.1
10000586,111350-18_11004633_6815,-113.1
10000586,111350-18_10983407_6814,-113.1
10000586,111350-18_11035020_6814,-113.1
10000586,111350-18_10077278_6817,-113.0
10000586,111360-03_10000586_1000,100.0
10000586,111360-04_10757683_1000,-12.8
10000586,111400-02_10514778_4230,-101.0
10000586,111400-02_10588306_4230,-101.0
10000586,111400-02_10713425_4230,-101.0
10000586,111400-02_10077278_6230,-101.0
10000586,111400-02_10077278_4230,-101.5
10000586,111400-03_10004573_4310,-101.0
10000586,111400-03_10201669_4310,-83.2
10000586,111400-03_10514778_4310,-101.0
10000586,111400-03_10584024_4310,-85.5
10000586,111400-03_10584168_4310,-85.1
10000586,111400-03_10584170_4310,-85.03200000000001
10000586,111400-03_10584172_4310,-85.05799999999999
10000586,111400-03_10585296_4310,-83.1
10000586,111400-03_10599536_4309,-81.5
10000586,111400-03_10716916_4310,-81.46
10000586,111400-03_10716969_4310,-81.5
10000586,111400-03_10759038_4310,-81.435
10000586,111400-03_10759039_4310,-81.363
10000586,111400-03_10933615_4309,-81.5
10000586,111400-03_10933616_4309,-81.5
10000586,111400-03_10933617_4309,-81.5
10000586,111400-03_10594020_4310,-101.0
10000586,111400-03_10919667_4310,-85.1
10000586,111400-03_10919669_4310,-81.5
10000586,111400-03_10919680_4310,-85.5
10000586,111500-01_10003100_0200,-125.0
10000586,111500-01_10935951_0100,-125.0
10000598,135150-07_10020317_0400,-100.0
10000598,135150-10_10000598_0900,100.0
10000598,135150-15_10000598_0600,100.0
10000598,135150-17_10000598_0800,100.0
10000598,135150-17_10584838_0800,-100.0
10000605,123020-03_10061950_0700,-8.731
10000644,110980-02_10000644_0701,100.0
10000644,111240-05_10213571_0100,-0.2
10000647,110980-02_10000647_0700,100.0
10000647,110980-02_10000647_0702,100.0
10000647,110980-02_10205104_0700,-100.0
10000685,123510-02_10000685_1000,100.0
10000691,124600-06_10000691_0600,100.0
10000705,123530-01_10014529_0500,-10.0
10000705,123530-01_10209605_0500,-2.8
10000705,123530-01_10209605_0501,-2.8
10000705,123600-01_10228315_0300,-1.0
10000705,123600-01_10228315_0301,-1.0
10000708,123540-06_10000708_0200,100.0
10000712,111040-04_10000712_0200,100.0
10000712,123020-24_10567915_0800,-27.778000000000002
10000712,123020-24_10603819_0700,-34.804
10000712,123020-24_10998800_0700,-43.505
10000712,123530-04_11011890_0200,-33.42
10000712,111040-01_10000712_0500,100.0
10000713,123020-24_10236902_0900,-26.0
10000713,123020-24_10567915_0800,-139.167
10000713,123020-72_10069909_0700,-32.429
10000713,123020-73_10097091_0700,-1.734
10000713,123350-82_10203484_0300,-23.0
10000713,123680-07_10234302_0400,-57.5
10000713,123680-07_10264197_0300,-23.3
10000713,123680-07_10264197_0400,-5.95
10000713,123680-08_10851404_0300,-16.3
10000713,123680-12_10584292_0100,-34.3
10000713,123680-12_10592242_1200,-36.6
10000713,124860-05_10928962_0200,-0.034
10000713,151210-95_10000713_0200,100.0
10000713,162590-01_10008321_0200,-35.85
10000714,123540-08_10000714_0200,100.0
10000715,123020-30_10932973_1100,-3.125
10000715,123020-30_11030361_0700,-3.448
10000715,123530-05_10932976_0800,-3.5
10000715,123550-10_10511687_1000,-9.9
10000715,124600-07_10000715_0700,100.0
10000752,151310-01_10000752_0400,100.0
10000756,123510-05_10007287_1000,-4.941
10000756,123510-05_10007287_1000,-4.941
10000756,123510-05_10559454_1100,-9.1
10000756,123530-05_10000756_0800,100.0
10000756,123530-05_10000756_0801,100.0
10000756,123530-05_10000756_0802,100.0
10000756,135120-16_10205109_0200,-16.04
10000756,135120-16_10544648_0200,-6.5120000000000005
10000757,110980-01_10000757_0700,100.0
10000757,110980-01_10000757_0703,100.0
10000757,110980-01_10000757_0707,100.0
10000757,110980-01_10000757_0708,100.0
10000757,110980-02_10000757_0200,100.0
10000757,110980-02_10000757_0201,100.0
10000757,110980-02_10000757_0202,100.0
10000757,123510-02_10981157_1000,-1.913
10000758,110980-01_10000758_0700,100.0
10000758,110980-01_10000758_0701,100.0
10000758,110980-01_10000758_0703,100.0
10000758,110980-01_10000758_0705,100.0
10000758,110980-02_10000758_0200,100.0
10000758,110980-02_10000758_0201,100.0
10000758,110980-02_10000758_0202,100.0
10000758,123510-05_10007287_1000,-4.941
10000758,123510-05_10559454_1100,-15.4
10000758,123530-04_10077205_0800,-30.08
10000761,110980-01_10000761_0700,100.0
10000761,110980-01_10000761_0701,100.0
10000761,110980-01_10000761_0703,100.0
10000761,110980-01_10000761_0704,100.0
10000761,110980-01_10014688_0100,-34.763000000000005
10000761,134130-05_10964982_1300,-9.0
10000762,110980-01_10000762_0700,100.0
10000762,110980-01_10000762_0701,100.0
10000762,110980-01_10000762_0702,100.0
10000762,110980-01_10000762_0704,100.0
10000768,100470-08_10096894_0110,-0.003
10000768,123410-15_10017275_0200,-0.10400000000000001
10000768,123410-15_10080779_0200,-0.004
10000768,123410-15_10080779_0210,-0.004
10000768,123410-15_10080798_0200,-0.002
10000768,123410-15_10080798_0210,-0.002
10000768,123410-15_10080798_0300,-0.003
10000768,123410-15_10319303_0110,-0.198
10000768,123410-15_10319303_0200,-0.198
10000768,123410-15_10582753_0100,-0.095
10000768,123410-15_10582753_0200,-0.102
10000768,123510-05_10000768_1000,100.0
10000768,134130-02_10234041_1400,-0.03
10000768,134130-40_10898276_1300,-0.1
10000781,123510-02_10000781_1000,100.0
10000786,124930-17_10000786_1700,100.0
10000786,124930-17_10000786_1701,100.0
10000786,124930-17_10000786_1710,100.0
10000786,124930-70_10000786_7000,100.0
10000811,124930-05_10000811_0500,100.0
10000827,136060-11_10839329_0100,-23.996
10000836,111180-09_10000836_0300,100.0
10000836,111180-09_10085842_0100,-9.756
10000839,123530-01_10000839_0500,100.0
10000839,123530-01_10000839_0501,100.0
