K,P,h
10000586,111400-03_10759038_4310,1
10000586,111400-03_10759039_4310,1
10000586,111400-03_10933615_4309,1
10000586,111400-03_10933616_4309,1
10000586,111400-03_10933617_4309,1
10000586,111400-03_10594020_4310,1
10000586,111400-03_10919667_4310,1
10000586,111400-03_10919669_4310,1
10000586,111400-03_10919680_4310,1
10000586,111500-01_10003100_0200,1
10000586,111500-01_10935951_0100,1
10000586,111350-17_10514778_6711,1
10000586,111400-03_10585296_4310,1
10000586,111400-03_10584172_4310,1
10000586,111400-03_10584170_4310,1
10000586,111400-03_10584168_4310,1
10000586,111350-18_10992117_6814,1
10000586,111350-18_11002941_6814,1
10000586,111350-18_11004633_6815,1
10000586,111350-18_10983407_6814,1
10000586,111350-18_11035020_6814,1
10000586,111350-18_10077278_6817,1
10000586,111360-04_10757683_1000,1
10000586,111350-18_10588306_6817,1
10000586,111400-02_10514778_4230,1
10000586,111400-02_10713425_4230,1
10000586,111400-02_10077278_6230,1
10000586,111400-02_10077278_4230,1
10000586,111400-03_10004573_4310,1
10000586,111400-03_10201669_4310,1
10000586,111400-03_10514778_4310,1
10000586,111400-03_10584024_4310,1
10000586,111400-02_10588306_4230,1
10000586,111350-17_10213712_6711,1
10000586,111350-16_10929207_6610,1
10000586,111350-17_10201669_6710,1
10000586,111350-14_10856416_6408,1
10000586,111350-14_10873445_6410,1
10000586,111350-14_10919667_6410,1
10000586,111350-14_10920216_6410,1
10000586,111350-14_10929207_6410,1
10000586,111350-14_10933616_6410,1
10000586,111350-14_10992117_6408,1
10000586,111350-14_11017455_6408,1
10000586,111350-14_10584121_6511,1
10000586,111350-14_10983407_6410,1
10000586,111350-14_11035020_6410,1
10000586,111350-16_10004573_6610,1
10000586,111350-16_10201669_6610,1
10000586,111350-16_10514778_6610,1
10000586,111350-16_10514800_6610,1
10000586,111350-14_10852161_6408,1
10000586,111350-16_10544997_6611,1
10000586,111350-14_10716912_6410,1
10000586,111350-14_10585641_6410,1
10000586,111350-13_10514778_6310,1
10000586,111350-13_10514800_6310,1
10000586,111350-13_10588306_6310,1
10000586,111350-13_10604774_6310,1
10000586,111350-13_10728158_6310,1
10000586,111350-14_10011664_6411,1
10000586,111350-14_10016851_6408,1
10000586,111350-14_10076425_6411,1
10000586,111350-14_10211386_6410,1
10000586,111350-14_10213712_6411,1
10000586,111350-14_10514778_6410,1
10000586,111350-14_10514800_6410,1
10000586,111350-14_10584117_6410,1
10000586,111350-14_10585404_6408,1
10000586,111350-14_10585445_6408,1
10000586,111350-14_10588306_6410,1
10000586,111350-16_10582809_6610,1
10000586,111350-14_10584121_6410,1
10000586,111350-16_10584117_6611,1
10000586,111350-16_10584040_6609,1
10000586,111350-16_10933615_6610,1
10000586,111350-16_10933616_6610,1
10000586,111350-16_10933617_6610,1
10000586,111350-16_10933820_6610,1
10000586,111350-16_10936605_6610,1
10000586,111350-16_10985140_6610,1
10000586,111350-16_11000008_6610,1
10000586,111350-16_11008117_6610,1
10000586,111350-16_11035020_6611,1
10000586,111350-16_10584121_6610,1
10000586,111350-17_10004573_6710,1
10000586,111350-17_10011664_6711,1
10000586,111350-17_10016851_6708,1
10000586,111350-17_10076425_6711,1
10000586,111350-17_10211386_6710,1
10000586,111350-16_10926075_6610,1
10000586,111350-16_10931438_6609,1
10000586,111350-16_10925239_6610,1
10000586,111350-16_10585404_6609,1
10000586,111350-16_10585641_6610,1
10000586,111350-16_10588306_6611,1
10000586,111350-16_10716912_6610,1
10000586,111350-16_10719907_6611,1
10000586,111350-16_10926074_6610,1
10000586,111350-16_10915729_6610,1
10000586,111350-16_10919667_6610,1
10000586,111350-16_10856383_6609,1
10000586,111350-16_10919669_6710,1
10000586,111350-16_10919680_6610,1
10000586,111350-16_10920216_6610,1
10000586,111350-16_10920289_6610,1
10000586,111350-16_10920411_6610,1
10000586,111350-16_10920431_6610,1
10000586,111350-16_10920432_6610,1
10000586,111350-16_10919669_6610,1
10000598,135150-07_10020317_0400,1
10000598,135150-17_10584838_0800,1
10000605,123020-03_10061950_0700,1
10000644,111240-05_10213571_0100,1
10000647,110980-02_10205104_0700,1
10000705,123600-01_10228315_0301,1
10000705,123600-01_10228315_0300,1
10000705,123530-01_10014529_0500,1
10000705,123530-01_10209605_0500,1
10000705,123530-01_10209605_0501,1
10000712,123020-24_10567915_0800,1
10000712,123020-24_10603819_0700,1
10000712,123020-24_10998800_0700,1
10000712,123530-04_11011890_0200,1
10000713,162590-01_10008321_0200,1
10000713,124860-05_10928962_0200,1
10000713,123680-12_10592242_1200,1
10000713,123680-12_10584292_0100,1
10000713,123680-08_10851404_0300,1
10000713,123680-07_10264197_0400,1
10000713,123350-82_10203484_0300,1
10000713,123680-07_10234302_0400,1
10000713,123020-73_10097091_0700,1
10000713,123020-72_10069909_0700,1
10000713,123020-24_10567915_0800,1
10000713,123020-24_10236902_0900,1
10000713,123680-07_10264197_0300,1
